left_policy,right_policy,metric,paired_mean_difference,paired_median_difference,standard_error,ci95_low,ci95_high,bootstrap_ci_low,bootstrap_ci_high,win_share,tie_share,loss_share,n_pairs
selected_observed_financial_ppo,inventory_coverage_rule,stockout_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20
selected_recovered_financial_ppo,inventory_coverage_rule,normalized_accounting_profit,0.2113469175117939,0.2072496646784461,0.006566051557796438,0.1984774564585129,0.22421637856507493,0.19946758564636907,0.22390789695712568,1.0,0.0,0.0,20
selected_recovered_financial_ppo,inventory_coverage_rule,raw_accounting_profit,0.5909199613174498,0.383459432686871,0.0984507481628559,0.39795649491825225,0.7838834277166474,0.4106611023846257,0.7977807058850872,1.0,0.0,0.0,20
selected_recovered_financial_ppo,inventory_coverage_rule,waste_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20
selected_recovered_financial_ppo,inventory_coverage_rule,sell_through_rate,-1.1102230246251566e-17,0.0,2.5342591700261942e-17,-6.077370997876497e-17,3.8569249486261845e-17,-6.120104423246176e-17,3.8857805861880476e-17,0.2,0.6,0.2,20
selected_recovered_financial_ppo,inventory_coverage_rule,average_markdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20
selected_recovered_financial_ppo,inventory_coverage_rule,stockout_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20
selected_recovered_financial_ppo,selected_observed_financial_ppo,normalized_accounting_profit,0.019556489304417283,0.02144860482770622,0.004343503378009241,0.01104322268351917,0.028069755925315396,0.011413354567168011,0.028680484491916656,0.85,0.0,0.15,20
selected_recovered_financial_ppo,selected_observed_financial_ppo,raw_accounting_profit,0.25408518215953924,0.1572450006858871,0.05162497757251233,0.15290022611741505,0.3552701382016634,0.16747061619147227,0.35691671707510725,1.0,0.0,0.0,20
selected_recovered_financial_ppo,selected_observed_financial_ppo,waste_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20
selected_recovered_financial_ppo,selected_observed_financial_ppo,sell_through_rate,-2.2204460492503132e-17,0.0,3.0775835873341593e-17,-8.252509880425265e-17,3.8116177819246395e-17,-8.326672684688674e-17,3.3306690738754695e-17,0.2,0.55,0.25,20
selected_recovered_financial_ppo,selected_observed_financial_ppo,average_markdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20
selected_recovered_financial_ppo,selected_observed_financial_ppo,stockout_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20
