policy_id,reference_policy_id,metric,paired_mean_difference,paired_median_difference,bootstrap_ci_low,bootstrap_ci_high,win_share,tie_share,loss_share
observed_financial__best_model,always_0pct,sell_through_rate,2.2204460492503132e-17,0.0,-2.7755575615628914e-17,7.771561172376095e-17,0.2,0.65,0.15
observed_financial__best_model,always_0pct,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__best_model,always_0pct,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__best_model,observed_financial__checkpoint_22288,episode_return,0.032727705391970764,0.028657485563978485,0.026711602880014215,0.03903669158585631,0.95,0.05,0.0
observed_financial__best_model,observed_financial__checkpoint_22288,normalized_accounting_profit,0.03272770539197073,0.028657485563978458,0.026636722910646327,0.03986191370838177,0.95,0.05,0.0
observed_financial__best_model,observed_financial__checkpoint_22288,raw_accounting_profit,0.1103509289386223,0.03567541320344114,0.04786881108192589,0.20064178267901947,0.95,0.05,0.0
observed_financial__best_model,observed_financial__checkpoint_22288,revenue,0.11035092893862233,0.03567541320344114,0.047596030505391296,0.19250950767527267,0.95,0.05,0.0
observed_financial__best_model,observed_financial__checkpoint_22288,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__best_model,observed_financial__checkpoint_22288,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__best_model,observed_financial__checkpoint_22288,sell_through_rate,-1.1102230246251566e-17,0.0,-4.4408920985006264e-17,0.0,0.0,0.95,0.05
observed_financial__best_model,observed_financial__checkpoint_22288,stockout_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__best_model,observed_financial__checkpoint_22288,average_markdown,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_17288,always_0pct,episode_return,-0.039182481851481155,-0.030902986737381927,-0.04760581558192526,-0.030270187125207598,0.05,0.0,0.95
observed_financial__checkpoint_17288,always_0pct,normalized_accounting_profit,-0.03918248185148117,-0.03090298673738187,-0.0490241613912069,-0.03033369317403005,0.05,0.0,0.95
observed_financial__checkpoint_17288,always_0pct,raw_accounting_profit,-0.31042027513846865,-0.18056272010604626,-0.44016492757398284,-0.2144736892781043,0.0,0.0,1.0
observed_financial__checkpoint_17288,always_0pct,revenue,-0.5211011392369989,-0.3589437510993202,-0.7453075879389524,-0.3728977256838182,0.0,0.0,1.0
observed_financial__checkpoint_17288,always_0pct,waste_rate,0.0,0.0,0.0,0.0,0.0,1.0,0.0
observed_financial__checkpoint_17288,always_0pct,physical_waste_units,0.0,0.0,0.0,0.0,0.0,1.0,0.0
