state_id,scenario_id,calibration_mode,source_policy,episode_index,day,prefix_actions,inventory_coverage_state,fraction_expiring_today,fraction_expiring_within_two_days,predicted_baseline_demand,episode_day,episode_period,remaining_inventory_life,shelf_life_class,scenario_inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model
state_0025,core_006,observed_calibration,always_0pct,0,1,0,0.81682288646698,0.14010867476463318,1.0,1.1891764402389526,1,early,2,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
state_0026,core_006,observed_calibration,always_0pct,1,0,,6.184210300445557,0.3333333432674408,0.6666666865348816,0.4501940608024597,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
state_0027,core_006,observed_calibration,always_0pct,1,2,0|0,1.969266653060913,1.0,1.0,0.47620972990989685,2,late,1,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
state_0028,core_006,recovered_calibration,always_0pct,0,0,,2.440021514892578,0.3333333432674408,0.6666666865348816,1.6303950548171997,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
state_0029,core_006,recovered_calibration,always_0pct,0,1,0,1.1207789182662964,0.3017570376396179,1.0,1.295389175415039,1,early,2,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
state_0030,core_006,recovered_calibration,always_0pct,0,2,0|0,0.145673930644989,1.0,1.0,1.4518882036209106,2,late,1,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
state_0031,core_006,recovered_calibration,always_0pct,1,0,,7.799272537231445,0.3333333432674408,0.6666666865348816,0.4419904053211212,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
state_0032,core_009,observed_calibration,always_0pct,0,0,,2.21427583694458,0.1428571492433548,0.2857142984867096,1.514770746231079,0,early,7,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0033,core_009,observed_calibration,always_0pct,0,1,0,0.81682288646698,0.0,0.0,1.1891764402389526,1,early,6,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0034,core_009,observed_calibration,always_0pct,1,0,,6.184210300445557,0.1428571492433548,0.2857142984867096,0.4501940608024597,0,early,7,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0035,core_009,observed_calibration,always_0pct,1,3,0|0|0,2.514131784439087,0.015170061960816383,0.3434467017650604,0.49274179339408875,3,middle,4,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0036,core_009,recovered_calibration,always_0pct,0,0,,2.440021514892578,0.1428571492433548,0.2857142984867096,1.6303950548171997,0,early,7,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0037,core_009,recovered_calibration,always_0pct,0,1,0,1.1207789182662964,0.0,0.0,1.295389175415039,1,early,6,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0038,core_009,recovered_calibration,always_0pct,0,2,0|0,0.145673930644989,0.0,0.0,1.4518882036209106,2,middle,5,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0039,core_009,recovered_calibration,always_0pct,1,0,,7.799272537231445,0.1428571492433548,0.2857142984867096,0.4419904053211212,0,early,7,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response
state_0040,core_012,observed_calibration,always_0pct,0,0,,2.21427583694458,0.1428571492433548,0.2857142984867096,1.514770746231079,0,early,7,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
state_0041,core_012,observed_calibration,always_0pct,0,1,0,0.81682288646698,0.0,0.0,1.1891764402389526,1,early,6,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
state_0042,core_012,observed_calibration,always_0pct,1,0,,6.184210300445557,0.1428571492433548,0.2857142984867096,0.4501940608024597,0,early,7,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
state_0043,core_012,observed_calibration,always_0pct,1,3,0|0|0,2.514131784439087,0.015170061960816383,0.3434467017650604,0.49274179339408875,3,middle,4,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
state_0044,core_012,recovered_calibration,always_0pct,0,0,,2.440021514892578,0.1428571492433548,0.2857142984867096,1.6303950548171997,0,early,7,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
state_0045,core_012,recovered_calibration,always_0pct,0,1,0,1.1207789182662964,0.0,0.0,1.295389175415039,1,early,6,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
state_0046,core_012,recovered_calibration,always_0pct,0,2,0|0,0.145673930644989,0.0,0.0,1.4518882036209106,2,middle,5,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
state_0047,core_012,recovered_calibration,always_0pct,1,0,,7.799272537231445,0.1428571492433548,0.2857142984867096,0.4419904053211212,0,early,7,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response
