episode_id,scenario_id,step_index,action,mean_q_action_0,mean_q_action_1,mean_q_action_2,mean_q_action_3,mean_q_action_4,mean_q_action_5
core_002__recovered_calibration__episode_01,core_002,0,1,0.3915650447209676,0.4104933838049571,0.39340850710868835,0.32697542508443195,0.27541162073612213,0.17826629678408304
core_002__recovered_calibration__episode_01,core_002,1,0,0.6192805568377177,0.6017637848854065,0.6007031202316284,0.5342201491196951,0.4700461228688558,0.4051460524400075
core_002__recovered_calibration__episode_01,core_002,2,0,0.2733516991138458,0.24495021005471548,0.24293822546799979,0.22076915701230368,0.19550853967666626,0.2042989879846573
core_002__recovered_calibration__episode_02,core_002,0,1,0.3947956363360087,0.40812356273333233,0.3749745786190033,0.33143988251686096,0.2691376308600108,0.16577189415693283
core_002__recovered_calibration__episode_02,core_002,1,0,0.6087619860967001,0.5874422788619995,0.5844627022743225,0.5198979179064432,0.45905394355456036,0.401896466811498
core_002__recovered_calibration__episode_02,core_002,2,0,0.27139706412951153,0.23965710898240408,0.238451619942983,0.21591209868590036,0.1916851351658503,0.20505229632059732
core_002__recovered_calibration__episode_03,core_002,0,0,0.4113282064596812,0.4092944860458374,0.37682071328163147,0.3253483275572459,0.25991182525952655,0.1869068443775177
core_002__recovered_calibration__episode_03,core_002,1,0,0.6202409863471985,0.5927773118019104,0.591582735379537,0.5223905344804128,0.46792768438657123,0.4091319441795349
core_002__recovered_calibration__episode_03,core_002,2,0,0.29271142681439716,0.2611219386259715,0.25921088457107544,0.23182410498460135,0.20183069010575613,0.21300581097602844
core_003__recovered_calibration__episode_00,core_003,0,0,0.530293881893158,0.5288597544034322,0.4507431487242381,0.39208589990933734,0.34757638971010846,0.25852851072947186
core_003__recovered_calibration__episode_00,core_003,1,1,0.4906855324904124,0.4929799636205037,0.43401476740837097,0.38712194561958313,0.3616885046164195,0.33804187178611755
core_003__recovered_calibration__episode_00,core_003,2,1,0.0806582123041153,0.08768464128176372,0.0627810185154279,0.05646159375707308,0.04349437107642492,0.04625052213668823
core_003__recovered_calibration__episode_01,core_003,0,5,-0.11730497827132542,-0.0934851070245107,-0.10996776570876439,-0.0920013040304184,-0.0524526908993721,-0.010770333309968313
core_003__recovered_calibration__episode_01,core_003,1,5,0.29728492101033527,0.3080711265405019,0.289855698744456,0.2919252614180247,0.3254918158054352,0.3516742487748464
core_003__recovered_calibration__episode_01,core_003,2,5,0.11309845248858134,0.1169547289609909,0.10980159292618434,0.11395116647084554,0.1285512720545133,0.16458540658156076
core_003__recovered_calibration__episode_02,core_003,0,5,-0.09462004030744235,-0.07693886508544286,-0.10943945000569026,-0.08196402341127396,-0.047076004246870674,-0.027766248832146328
core_003__recovered_calibration__episode_02,core_003,1,5,0.2760243167479833,0.28056591749191284,0.2724849085013072,0.2759353419144948,0.3060494263966878,0.33827220400174457
core_003__recovered_calibration__episode_02,core_003,2,5,0.13108433037996292,0.13392461836338043,0.12706217914819717,0.12628524005413055,0.13814799984296164,0.1660469820102056
core_003__recovered_calibration__episode_03,core_003,0,5,-0.08756331106026967,-0.07366146768132846,-0.09564009060462315,-0.08321401973565419,-0.05123500029246012,0.015393750121196112
core_003__recovered_calibration__episode_03,core_003,1,5,0.29130534331003827,0.29526545604070026,0.2884279986222585,0.28624702493349713,0.31501250465710956,0.344047615925471
core_003__recovered_calibration__episode_03,core_003,2,5,0.1595606654882431,0.1600165069103241,0.15326603750387827,0.14733099937438965,0.15159116685390472,0.17031352718671164
core_003__recovered_calibration__episode_05,core_003,0,5,-0.02187062551577886,-8.883265157540639e-05,-0.035424637918670975,-0.01895189161101977,0.0018951129168272018,0.033567926536003746
