scenario_id,grid_type,shelf_life_class,inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,lambda_waste,scenarios_audited_source,always_zero_waste_rate,minimum_waste_rate,maximum_waste_rate,maximum_waste_reduction_vs_always_zero,profit_loss_at_maximum_waste_reduction,non_dominated_policy_count,profit_waste_correlation,policy_ranking_changes_between_profit_and_waste,classification,note,calibration_mode_primary,accounting_validity_confirmed_from_tradeoff_run
core_002,core,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1,core_grid,0.0535416193538628,0.0,0.0535416193538628,0.0535416193538628,0.195123096169225,4.0,0.8308730294176107,True,MEANINGFUL_PROFIT_WASTE_TRADEOFF,,recovered_calibration,True
core_003,core,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1,core_grid,0.3993287610379565,0.1290695884867075,0.3993287610379565,0.270259172551249,0.0646000334265055,3.0,0.5777863738385013,True,MEANINGFUL_PROFIT_WASTE_TRADEOFF,,recovered_calibration,True
core_005,core,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1,core_grid,0.0535416193538628,0.0,0.0535416193538628,0.0535416193538628,0.195123096169225,4.0,0.8308730294176107,True,MEANINGFUL_PROFIT_WASTE_TRADEOFF,,recovered_calibration,True
core_006,core,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1,core_grid,0.3993287610379565,0.1290695884867075,0.3993287610379565,0.270259172551249,0.0646000334265055,3.0,0.5777863738385013,True,MEANINGFUL_PROFIT_WASTE_TRADEOFF,,recovered_calibration,True
core_009,core,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.1,core_grid,0.0001475421836564,0.0,0.0001475421836564,0.0001475421836564,0.0498450807071608,2.0,0.547271390656651,True,MEANINGFUL_PROFIT_WASTE_TRADEOFF,,recovered_calibration,True
core_012,core,medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,0.1,core_grid,0.0001475421836564,0.0,0.0001475421836564,0.0001475421836564,0.0498450807071608,2.0,0.547271390656651,True,MEANINGFUL_PROFIT_WASTE_TRADEOFF,,recovered_calibration,True
