state_id,action,markdown_rate,predicted_demand,selling_price,expected_sales,immediate_revenue,expected_waste,raw_financial_contribution,sustainability_reward,support_status
0,0,0.0,4.754970292454967,1.0,4.754970292454967,4.754970292454967,0.0,-1.648461074803758,-0.14158871066813675,supported
0,1,0.05,4.738959425485724,0.95,4.738959425485724,4.502011454211438,0.0,-1.9014199130472873,-0.16331571187335164,supported
0,2,0.1,5.488891340366519,0.9,5.488891340366519,4.940002206329867,0.0,-1.4634291609288583,-0.12569605143678453,supported
0,3,0.2,6.42321836018429,0.8,6.42321836018429,5.138574688147433,0.0,-1.2648566791112925,-0.10864037320181727,supported
0,4,0.3,6.347681326083838,0.7,6.347681326083838,4.443376928258687,0.0,-1.9600544390000385,-0.16835191628071125,supported
0,5,0.4,6.32836811404769,0.6,6.32836811404769,3.7970208684286137,0.0,-2.6064104988301113,-0.22386837496007178,supported
1,0,0.0,0.7982692590754836,1.0,0.7982692590754836,0.7982692590754836,0.0,-0.18619901437135533,-0.10402514805854282,supported
1,1,0.05,0.8479801941706129,0.95,0.8479801941706129,0.8055811844620822,0.0,-0.1788870889847568,-0.09994014189724842,supported
1,2,0.1,0.8507694457694608,0.9,0.8507694457694608,0.7656925011925148,0.0,-0.2187757722543242,-0.12222504064919054,supported
1,3,0.2,0.8882528578641447,0.8,0.8882528578641447,0.7106022862913157,0.0,-0.27386598715552324,-0.15300268886082247,supported
1,4,0.3,0.926815319792669,0.7,0.926815319792669,0.6487707238548682,0.0,-0.33569754959197073,-0.18754657438491246,supported
1,5,0.4,1.1355019763294343,0.6,1.1355019763294343,0.6813011857976605,0.0,-0.30316708764917843,-0.1693725462815051,supported
2,0,0.0,1.4157937984318485,1.0,1.4157937984318485,1.4157937984318485,0.0,-0.16564580220159453,-0.05760902355953712,supported
2,1,0.05,1.476368490752682,0.95,1.476368490752682,1.4025500662150479,0.0,-0.17888953441839517,-0.06221498683269832,supported
2,2,0.1,1.5154956652028173,0.9,1.5154956652028173,1.3639460986825356,0.0,-0.21749350195090744,-0.07564084396589343,supported
2,3,0.2,1.541099695947922,0.8,1.541099695947922,1.2328797567583376,0.0,-0.3485598438751054,-0.1212236711756299,supported
2,4,0.3,1.6269375824668564,0.7,1.6269375824668564,1.1388563077267995,0.0,-0.44258329290664356,-0.1539235586367966,supported
2,5,0.4,1.8772220832055058,0.6,1.8772220832055058,1.1263332499233034,0.0,-0.4551063507101396,-0.1582788826018497,supported
3,0,0.0,0.7987356091178399,1.0,0.7987356091178399,0.7987356091178399,0.0,-0.2386106528872458,-0.12651114087433016,supported
3,1,0.05,0.8708595421066807,0.95,0.8708595421066807,0.8273165650013466,0.0,-0.21002969700373908,-0.1113575452894341,supported
3,2,0.1,0.8937251935702248,0.9,0.8937251935702248,0.8043526742132023,0.0,-0.2329935877918834,-0.12353297831125518,supported
3,3,0.2,0.927717144150203,0.8,0.927717144150203,0.7421737153201624,0.0,-0.2951725466849233,-0.15650020308832224,supported
3,4,0.3,0.972947064662812,0.7,0.972947064662812,0.6810629452639684,0.0,-0.35628331674111735,-0.18890107516158752,supported
3,5,0.4,1.2177730770336521,0.6,1.2177730770336521,0.7306638462201912,0.0,-0.3066824157848945,-0.16260272472150197,supported
4,0,0.0,1.0131907566662548,1.0,1.0131907566662548,1.0131907566662548,0.0,-0.17327544724201327,-0.08032381846965407,supported
4,1,0.05,1.0679801484365141,0.95,1.0679801484365141,1.0145811410146883,0.0,-0.17188506289357974,-0.0796792898778413,supported
4,2,0.1,1.1137918571541765,0.9,1.1137918571541765,1.002412671438759,0.0,-0.18405353246950917,-0.0853201233417152,supported
4,3,0.2,1.149221420390349,0.8,1.149221420390349,0.9193771363122792,0.0,-0.2670890675959888,-0.12381219683620368,supported
4,4,0.3,1.1660196519095951,0.7,1.1660196519095951,0.8162137563367166,0.0,-0.3702524475715515,-0.17163476337847525,supported
4,5,0.4,1.695146297920024,0.6,1.695146297920024,1.0170877787520143,0.0,-0.1693784251562538,-0.07851730924072924,supported
5,0,0.0,1.8056496305497651,1.0,1.8056496305497651,1.8056496305497651,0.0,-1.3114905779151167,-0.2314043545088231,supported
5,1,0.05,1.8829629596848334,0.95,1.8829629596848334,1.7888148117005918,0.0,-1.32832539676429,-0.23437475357585938,supported
5,2,0.1,1.998839237871601,0.9,1.998839237871601,1.7989553140844408,0.0,-1.318184894380441,-0.2325855250079652,supported
5,3,0.2,2.020706464089413,0.8,2.020706464089413,1.6165651712715303,0.0,-1.5005750371933515,-0.2647671311720663,supported
5,4,0.3,2.0358520905206,0.7,2.0358520905206,1.42509646336442,0.0,-1.6920437451004617,-0.29855059367495196,supported
5,5,0.4,2.066609670868311,0.6,2.066609670868311,1.2399658025209865,0.0,-1.8771744059438953,-0.33121574719848673,supported
6,0,0.0,0.5082719069964059,1.0,0.5082719069964059,0.5082719069964059,0.0,-0.6693697008890698,-0.3126191644587263,supported
6,1,0.05,0.542684467550874,0.95,0.542684467550874,0.5155502441733303,0.0,-0.6620913637121454,-0.3092199253179692,supported
6,2,0.1,0.56362695297166,0.9,0.56362695297166,0.507264257674494,0.0,-0.6703773502109817,-0.31308977208955435,supported
6,3,0.2,0.5981646884511671,0.8,0.5981646884511671,0.4785317507609337,0.0,-0.699109857124542,-0.32650886215621155,supported
6,4,0.3,0.7126618872136186,0.7,0.7126618872136186,0.49886332104953296,0.0,-0.6787782868359427,-0.3170133046080979,supported
6,5,0.4,0.9222157853451551,0.6,0.9222157853451551,0.5533294712070931,0.0,-0.6243121366783826,-0.2915756991549019,supported
7,0,0.0,0.953432719636768,1.0,0.953432719636768,0.953432719636768,0.0,-0.28314233188606974,-0.12593516450583372,supported
7,1,0.05,0.9963328115567032,0.95,0.9963328115567032,0.946516170978868,0.0,-0.2900588805439698,-0.12901148547572575,supported
7,2,0.1,1.0050593817335192,0.9,1.0050593817335192,0.9045534435601673,0.0,-0.33202160796267044,-0.1476755366805944,supported
7,3,0.2,1.027006779206698,0.8,1.027006779206698,0.8216054233653584,0.0,-0.4149696281574794,-0.1845688987543014,supported
7,4,0.3,1.0590552142753045,0.7,1.0590552142753045,0.741338649992713,0.0,-0.4952364015301247,-0.22026970421741374,supported
