state_id,scenario_id,calibration_mode,source_policy,episode_index,day,prefix_actions,inventory_coverage_state,fraction_expiring_today,fraction_expiring_within_two_days,predicted_baseline_demand,episode_day,episode_period,remaining_inventory_life,shelf_life_class,scenario_inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,oracle_horizon,rolling_oracle_preferred_action,rolling_oracle_preferred_markdown,rolling_oracle_value,zero_first_action_oracle_value,oracle_gain_vs_zero,best_positive_action,best_positive_gain_vs_zero,positive_markdown_financially_preferred
state_0017,core_002,recovered_calibration,always_40pct,1,1,5,1.542265772819519,0.27272701263427734,1.0,0.47203096747398376,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,2,0,0.0,0.2333332674111045,0.2333332674111045,0.0,1,-0.01597204719137907,False
state_0018,core_002,recovered_calibration,always_40pct,3,1,5,1.3835999965667725,0.27636829018592834,1.0,0.4607735574245453,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,2,0,0.0,0.23425579400850283,0.23425579400850283,0.0,1,-0.01584047668372343,False
state_0019,core_002,recovered_calibration,expiry_threshold_rule,1,0,,3.8996362686157227,0.3333333432674408,0.6666666865348816,0.43535053730010986,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,4,0.3,0.33071836127631854,0.28684780768792717,0.04387055358839137,4,0.04387055358839137,True
state_0020,core_002,recovered_calibration,inventory_coverage_rule,2,2,4|4,0.45768457651138306,1.0,1.0,0.5674527883529663,2,late,1,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,1,0,0.0,0.19437828175383443,0.19437828175383443,0.0,1,-0.007396380292305743,False
state_0021,core_002,recovered_calibration,inventory_coverage_rule,3,1,4,1.817722201347351,0.42066940665245056,1.0,0.4505721628665924,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,2,0,0.0,0.32261301241698387,0.32261301241698387,0.0,1,-0.015506001151858906,False
state_0022,core_002,recovered_calibration,inventory_coverage_rule,6,1,4,1.2720931768417358,0.3028123080730438,1.0,0.7531664371490479,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,2,0,0.0,0.293433398473789,0.293433398473789,0.0,1,-0.023905566412298185,False
state_0023,core_003,observed_calibration,always_0pct,0,0,,2.21427583694458,0.3333333432674408,0.6666666865348816,1.514770746231079,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,0,0.0,0.45000000000000007,0.45000000000000007,0.0,1,-0.030501070004425812,False
state_0024,core_003,observed_calibration,always_0pct,0,1,0,0.81682288646698,0.14010867476463318,1.0,1.1891764402389526,1,early,2,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,2,0,0.0,0.45000000000000007,0.45000000000000007,0.0,1,-0.019382294366354913,False
state_0025,core_003,observed_calibration,always_0pct,1,0,,6.184210300445557,0.3333333432674408,0.6666666865348816,0.4501940608024597,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,5,0.4,0.15525376995332643,0.11022957376081459,0.04502419619251184,5,0.04502419619251184,True
state_0026,core_003,observed_calibration,always_0pct,1,2,0|0,1.969266653060913,1.0,1.0,0.47620972990989685,2,late,1,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,1,5,0.4,0.01184846715100234,-0.0026823677946939996,0.01453083494569634,5,0.01453083494569634,True
state_0027,core_003,observed_calibration,always_0pct,2,0,,5.771929740905762,0.3333333432674408,0.6666666865348816,0.486522376537323,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,5,0.4,0.15127667774437772,0.10975971961562775,0.041516958128749976,5,0.041516958128749976,True
state_0028,core_003,observed_calibration,always_0pct,3,0,,5.970962047576904,0.3333333432674408,0.6666666865348816,0.47317707538604736,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,5,0.4,0.137431092585101,0.08874743261808245,0.04868365996701855,5,0.04868365996701855,True
state_0029,core_003,observed_calibration,always_0pct,7,0,,5.411184310913086,0.3333333432674408,0.6666666865348816,0.7354214787483215,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,0,0.0,0.22719684923378167,0.22719684923378167,0.0,1,-0.018714467604914437,False
state_0030,core_003,observed_calibration,always_20pct,1,0,,6.184210300445557,0.3333333432674408,0.6666666865348816,0.4501940608024597,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,5,0.4,0.15525376995332643,0.11022957376081459,0.04502419619251184,5,0.04502419619251184,True
state_0031,core_003,observed_calibration,always_40pct,1,0,,6.184210300445557,0.3333333432674408,0.6666666865348816,0.4501940608024597,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,5,0.4,0.15525376995332643,0.11022957376081459,0.04502419619251184,5,0.04502419619251184,True
state_0032,core_003,observed_calibration,always_40pct,4,1,5,2.9372096061706543,0.43911439180374146,1.0,0.5430209040641785,1,early,2,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,2,0,0.0,0.20746028084753002,0.20746028084753002,0.0,4,-0.009904792514412036,False
state_0033,core_003,observed_calibration,always_40pct,5,2,5|5,0.6056208610534668,1.0,1.0,0.7112001776695251,2,late,1,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,1,0,0.0,0.11146608954169626,0.11146608954169626,0.0,1,-0.0076832611927120514,False
state_0034,core_003,observed_calibration,expiry_threshold_rule,1,0,,6.184210300445557,0.3333333432674408,0.6666666865348816,0.4501940608024597,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,5,0.4,0.15525376995332643,0.11022957376081459,0.04502419619251184,5,0.04502419619251184,True
state_0035,core_003,recovered_calibration,always_0pct,0,0,,2.440021514892578,0.3333333432674408,0.6666666865348816,1.6303950548171997,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,0,0.0,0.44999999999999996,0.44999999999999996,0.0,1,-0.02801516399542775,False
state_0036,core_003,recovered_calibration,always_0pct,0,1,0,1.1207789182662964,0.3017570376396179,1.0,1.295389175415039,1,early,2,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,2,0,0.0,0.44999999999999996,0.44999999999999996,0.0,1,-0.021374167507943298,False
state_0037,core_003,recovered_calibration,always_0pct,0,2,0|0,0.145673930644989,1.0,1.0,1.4518882036209106,2,late,1,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,1,0,0.0,0.44999999999999996,0.44999999999999996,0.0,1,-0.003108058482728604,False
state_0038,core_003,recovered_calibration,always_0pct,1,0,,7.799272537231445,0.3333333432674408,0.6666666865348816,0.4419904053211212,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,5,0.4,-0.0647642414550395,-0.09735654819927132,0.032592306744231817,5,0.032592306744231817,True
state_0039,core_003,recovered_calibration,always_0pct,1,1,0,5.122692108154297,0.5,1.0,0.44858264923095703,1,early,2,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,2,5,0.4,-0.09735654819927132,-0.12300812314373559,0.025651574944464267,5,0.025651574944464267,True
state_0040,core_003,recovered_calibration,always_0pct,2,0,,7.279321193695068,0.3333333432674408,0.6666666865348816,0.47008660435676575,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,5,0.4,-0.06568123481319886,-0.0934826844702637,0.02780144965706484,5,0.02780144965706484,True
state_0041,core_003,recovered_calibration,always_0pct,3,0,,6.837368965148926,0.3333333432674408,0.6666666865348816,0.47694236040115356,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,5,0.4,-0.0637690116267885,-0.0851505501979476,0.021381538571159098,5,0.021381538571159098,True
state_0042,core_003,recovered_calibration,always_0pct,6,1,0,3.617839813232422,0.5,1.0,0.7720814347267151,1,early,2,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,2,1,0.05,0.1078036778195398,0.09971259646932643,0.008091081350213372,1,0.008091081350213372,True
state_0043,core_003,recovered_calibration,always_0pct,7,0,,5.451850414276123,0.3333333432674408,0.6666666865348816,0.7860967516899109,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,1,0.05,0.062492071420547614,0.05266028067931511,0.009831790741232506,1,0.009831790741232506,True
state_0044,core_003,recovered_calibration,always_20pct,1,0,,7.799272537231445,0.3333333432674408,0.6666666865348816,0.4419904053211212,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,5,0.4,-0.0647642414550395,-0.09735654819927132,0.032592306744231817,5,0.032592306744231817,True
state_0045,core_003,recovered_calibration,always_40pct,1,0,,7.799272537231445,0.3333333432674408,0.6666666865348816,0.4419904053211212,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,5,0.4,-0.0647642414550395,-0.09735654819927132,0.032592306744231817,5,0.032592306744231817,True
state_0046,core_003,recovered_calibration,always_40pct,5,2,5|5,1.5877481698989868,1.0,1.0,0.8438664674758911,2,late,1,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,1,1,0.05,0.062402539359310526,0.0579914333327672,0.004411106026543328,1,0.004411106026543328,True
state_0047,core_003,recovered_calibration,expiry_threshold_rule,1,0,,7.799272537231445,0.3333333432674408,0.6666666865348816,0.4419904053211212,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,5,0.4,-0.0647642414550395,-0.09735654819927132,0.032592306744231817,5,0.032592306744231817,True
state_0048,core_005,observed_calibration,always_0pct,0,0,,1.10713791847229,0.3333333432674408,0.6666666865348816,1.5271564722061157,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,3,0,0.0,0.44999999999999996,0.44999999999999996,0.0,1,-0.04999999999999999,False
state_0049,core_005,observed_calibration,always_0pct,1,0,,3.0921051502227783,0.3333333432674408,0.6666666865348816,0.46009570360183716,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,3,0,0.0,0.45000000000000007,0.45000000000000007,0.0,1,-0.01884749837817462,False
state_0050,core_005,observed_calibration,always_0pct,1,1,0,1.9010639190673828,0.46922096610069275,1.0,0.47374415397644043,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,2,0,0.0,0.45000000000000007,0.45000000000000007,0.0,1,-0.019478671449254747,False
state_0051,core_005,observed_calibration,always_0pct,1,2,0|0,0.7229486703872681,1.0,1.0,0.42175689339637756,2,late,1,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,1,0,0.0,0.45000000000000007,0.45000000000000007,0.0,1,-0.01224902671833522,False
state_0052,core_005,observed_calibration,always_0pct,3,0,,2.985481023788452,0.3333333432674408,0.6666666865348816,0.483235627412796,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,3,0,0.0,0.45000000000000007,0.45000000000000007,0.0,1,-0.019684292354582522,False
