seed,selected_policy_id,selected_checkpoint,episode_id,scenario_id,dqn_normalized_profit,baseline_normalized_profit,planning_normalized_profit,dqn_minus_baseline,dqn_waste_rate,baseline_waste_rate,planning_waste_rate,dqn_sell_through,baseline_sell_through,planning_sell_through,dqn_action_sequence,planning_action_sequence,baseline_action_sequence
42,STANDARD_DQN__seed_42__20000,20000,core_002__recovered_calibration__episode_01,core_002,0.28091073621274115,0.2868478076879271,0.3307183612763185,-0.005937071475185962,0.13326425490059887,0.1553830402972121,0.0,0.8667357450994012,0.8446169597027879,1.0,1|0|1,4|0|0,0|0|0
42,STANDARD_DQN__seed_42__20000,20000,core_002__recovered_calibration__episode_02,core_002,0.32138982905581986,0.3137348640412255,0.3253026440151338,0.007654965014594339,0.09301997125119854,0.1297763199607375,0.0746973559848661,0.9069800287488015,0.8702236800392624,0.9253026440151336,1|0|1,1|1|1,0|0|0
42,STANDARD_DQN__seed_42__20000,20000,core_002__recovered_calibration__episode_03,core_002,0.35713863861051054,0.356760202095313,0.3608927737608081,0.0003784365151975333,0.07256637592649781,0.0887998075282732,0.0391072262391917,0.9274336240735022,0.9112001924717268,0.9608927737608082,0|0|1,1|1|1,0|0|0
42,STANDARD_DQN__seed_42__20000,20000,core_003__recovered_calibration__episode_00,core_003,0.39819078624173815,0.4499999999999999,0.4499999999999999,-0.05180921375826175,0.0,0.0,0.0,1.0,1.0,1.0,1|1|3,0|0|0,0|0|0
42,STANDARD_DQN__seed_42__20000,20000,core_003__recovered_calibration__episode_01,core_003,-0.0647642414550395,-0.1521993279473976,-0.0647642414550395,0.0874350864923581,0.17656037146929135,0.5735231694737118,0.1765603714692913,0.8234396285307086,0.4264768305262881,0.8234396285307086,5|5|5,5|5|5,0|0|0
42,STANDARD_DQN__seed_42__20000,20000,core_003__recovered_calibration__episode_02,core_003,-0.06568123481319886,-0.1358956767616695,-0.0656812348131988,0.07021444194847064,0.17797113048184424,0.5579958826301613,0.1779711304818442,0.8220288695181557,0.4420041173698387,0.8220288695181557,5|5|5,5|5|5,0|0|0
42,STANDARD_DQN__seed_42__20000,20000,core_003__recovered_calibration__episode_03,core_003,-0.06429925708410375,-0.1149356392518086,-0.0637690116267885,0.050636382167704844,0.175845010898621,0.5380339421445797,0.2828211172219952,0.824154989101379,0.4619660578554204,0.7171788827780048,5|5|5,5|5|0,0|0|0
42,STANDARD_DQN__seed_42__20000,20000,core_003__recovered_calibration__episode_05,core_003,0.12649431434498115,0.0784460014273715,0.1264943143449811,0.04804831291760965,0.17605717587554273,0.3538609510215508,0.1760571758755427,0.8239428241244573,0.6461390489784491,0.8239428241244573,5|1|1,5|1|1,0|0|0
42,STANDARD_DQN__seed_42__20000,20000,core_003__recovered_calibration__episode_06,core_003,0.08519100159003536,0.0997125964693264,0.1103239455665858,-0.014521594879291042,0.2228442328344427,0.3336070509815937,0.2990057997416973,0.7771557671655572,0.6663929490184062,0.7009942002583027,1|1|5,1|1|0,0|0|0
42,STANDARD_DQN__seed_42__20000,20000,core_003__recovered_calibration__episode_07,core_003,0.027548022786494136,0.0526602806793151,0.0624920714205476,-0.025112257892820965,0.30284729465981686,0.3784187803054141,0.3562289073782099,0.6971527053401833,0.6215812196945859,0.6437710926217901,0|0|5,1|0|0,0|0|0
