scenario_id,calibration_mode,policy_id,policy_kind,normalized_accounting_profit,raw_accounting_profit,revenue,procurement_cost,disposal_cost,physical_waste_units,waste_rate,sell_through_rate,stockout_rate,average_markdown,terminal_inventory,episode_length,action_entropy,episode_conservation_error,raw_financial_sum_error,nondominated_status,profit_tolerance,waste_rate_tolerance,near_duplicate_profit_tolerance,near_duplicate_waste_tolerance,set_description
core_002,observed_calibration,always_0pct,fixed_or_rule_policy,0.45000000000000007,0.5565789473684212,1.236842105263158,0.6802631578947369,0.0,0.0,0.0,1.0,0.4583333333333333,0.0,1.3877787807814457e-17,2.5,0.0,4.163336342344337e-17,1.3877787807814457e-17,NON_DOMINATED,1e-06,1e-06,0.0001,0.0001,empirical non-dominated profit-waste set
core_002,observed_calibration,always_10pct,fixed_or_rule_policy,0.3500000000000001,0.4328947368421054,1.1131578947368423,0.6802631578947369,0.0,0.0,0.0,1.0,0.4583333333333333,0.10000000000000002,1.3877787807814457e-17,2.5,0.0,4.163336342344337e-17,0.0,DOMINATED,1e-06,1e-06,0.0001,0.0001,empirical non-dominated profit-waste set
core_002,observed_calibration,always_20pct,fixed_or_rule_policy,0.2500000000000001,0.3092105263157896,0.9894736842105265,0.6802631578947369,0.0,0.0,0.0,1.0,0.4583333333333333,0.20000000000000004,1.3877787807814457e-17,2.5,0.0,1.3877787807814457e-17,0.0,DOMINATED,1e-06,1e-06,0.0001,0.0001,empirical non-dominated profit-waste set
core_002,observed_calibration,always_40pct,fixed_or_rule_policy,0.05000000000000003,0.061842105263157934,0.7421052631578948,0.6802631578947369,0.0,0.0,0.0,1.0,0.5625,0.4,1.3877787807814457e-17,1.875,0.0,1.3877787807814457e-17,0.0,IDENTICAL_OR_NEAR_DUPLICATE,1e-06,1e-06,0.0001,0.0001,empirical non-dominated profit-waste set
core_002,observed_calibration,always_5pct,fixed_or_rule_policy,0.4,0.4947368421052632,1.175,0.6802631578947369,0.0,0.0,0.0,1.0,0.4583333333333333,0.05000000000000001,1.3877787807814457e-17,2.5,0.0,4.163336342344337e-17,0.0,DOMINATED,1e-06,1e-06,0.0001,0.0001,empirical non-dominated profit-waste set
core_002,observed_calibration,expiry_threshold_rule,fixed_or_rule_policy,0.05000000000000003,0.061842105263157934,0.7421052631578948,0.6802631578947369,0.0,0.0,0.0,1.0,0.5625,0.4,1.3877787807814457e-17,1.875,0.0,1.3877787807814457e-17,0.0,IDENTICAL_OR_NEAR_DUPLICATE,1e-06,1e-06,0.0001,0.0001,empirical non-dominated profit-waste set
core_002,observed_calibration,inventory_coverage_rule,fixed_or_rule_policy,0.21473757759276055,0.2655964775489407,0.9458596354436776,0.6802631578947369,0.0,0.0,0.0,1.0,0.5,0.19375,1.3877787807814457e-17,2.25,0.7585531985305137,1.3877787807814457e-17,0.0,DOMINATED,1e-06,1e-06,0.0001,0.0001,empirical non-dominated profit-waste set
core_002,observed_calibration,selected_observed_financial_ppo,ppo_cross_scenario_financial_policy,0.33937167897018694,0.41974918188417865,1.1000123397789157,0.6802631578947369,0.0,0.0,0.0,1.0,0.4583333333333333,0.12083333333333333,1.3877787807814457e-17,2.5,0.397821355184258,4.163336342344337e-17,0.0,DOMINATED,1e-06,1e-06,0.0001,0.0001,empirical non-dominated profit-waste set
core_002,observed_calibration,selected_recovered_financial_ppo,ppo_cross_scenario_financial_policy,0.3947033271306638,0.4881856940826632,1.1684488519774001,0.6802631578947369,0.0,0.0,0.0,1.0,0.4583333333333333,0.06041666666666667,1.3877787807814457e-17,2.5,0.397821355184258,4.163336342344337e-17,0.0,DOMINATED,1e-06,1e-06,0.0001,0.0001,empirical non-dominated profit-waste set
core_002,recovered_calibration,always_0pct,fixed_or_rule_policy,0.393781299678444,0.6142415314081398,1.4763373619236781,0.8579199737274122,0.004175856788126282,0.08351713576252562,0.05354161935386282,0.9464583806461372,0.29166666666666663,0.0,0.0,2.75,0.0,3.469446951953614e-17,0.0,NON_DOMINATED,1e-06,1e-06,0.0001,0.0001,empirical non-dominated profit-waste set
core_002,recovered_calibration,always_10pct,fixed_or_rule_policy,0.30899345913850035,0.48198483699280803,1.3432713495200814,0.8579199737274122,0.003366538799861222,0.06733077599722444,0.04316477985421008,0.9568352201457899,0.29166666666666663,0.10000000000000002,0.0,2.75,0.0,2.7755575615628914e-17,0.0,DOMINATED,1e-06,1e-06,0.0001,0.0001,empirical non-dominated profit-waste set
core_002,recovered_calibration,always_20pct,fixed_or_rule_policy,0.2475615810029514,0.3861600455817612,1.2443037592409258,0.8579199737274122,0.000223739931752337,0.0044747986350467395,0.002868728231821873,0.9971312717681782,0.41666666666666663,0.20000000000000004,0.0,2.75,0.0,0.0,0.0,NON_DOMINATED,1e-06,1e-06,0.0001,0.0001,empirical non-dominated profit-waste set
