state_id,store_id,product_id,activity_flag,possible_stockout_flag,stockout_risk_group,demand_volume_group,markdown_rate,support_status,absolute_uplift_vs_zero_observed,absolute_uplift_vs_zero_recovered,percentage_uplift_vs_zero_observed,percentage_uplift_vs_zero_recovered,predicted_demand_observed,predicted_demand_recovered,absolute_prediction_difference,percentage_prediction_difference,difference_in_implied_uplift
0,493,37,0,1,high,high,0.0,supported,0.0,0.0,0.0,0.0,1.5305709373112206,1.9849700465152265,0.45439910920400584,29.68820968221546,0.0
0,493,37,0,1,high,high,0.05,supported,0.23967178488797902,0.024386637258625665,15.658979211314072,1.228564496549378,1.7702427221991996,2.009356683773852,0.23911396157465248,13.507411078498755,-0.21528514762935336
0,493,37,0,1,high,high,0.1,supported,0.42421491390358357,0.14112495551898308,27.716122367304898,7.1096768319874215,1.9547858512148042,2.1260950020342095,0.17130915081940534,8.763576363771254,-0.2830899583846005
0,493,37,0,1,high,high,0.2,supported,0.45838694899716037,0.17327681786910132,29.948755580216122,8.729442450444157,1.988957886308381,2.158246864384328,0.16928897807594678,8.511441053694547,-0.28511013112805905
0,493,37,0,1,high,high,0.3,supported,0.5374910890400408,0.3124317140404478,35.11703220918727,15.73987046247607,2.0680620263512615,2.2974017605556742,0.22933973420441278,11.089596505431864,-0.22505937499959305
0,493,37,0,1,high,high,0.4,supported,0.7582112383278892,0.6458858186396452,49.537804478363576,32.53881940302068,2.28878217563911,2.6308558651548717,0.3420736895157619,14.945663818805421,-0.11232541968824394
1,117,316,0,1,high,high,0.0,supported,0.0,0.0,0.0,0.0,1.180740264380991,1.4852228433037764,0.3044825789227854,25.787430826915347,0.0
1,117,316,0,1,high,high,0.05,supported,0.09708364003212067,0.03717151607052749,8.222268941003485,2.502756824547747,1.2778239044131117,1.522394359374304,0.24457045496119223,19.139605552575745,-0.05991212396159318
1,117,316,0,1,high,high,0.1,supported,0.05708446604250916,0.0330414802259007,4.834633641670205,2.2246816613998632,1.2378247304235002,1.518264323529677,0.28043959310617694,22.65584021820517,-0.024042985816608464
1,117,316,0,1,high,high,0.2,supported,0.03367613688638382,0.05395768232903553,2.852120648569456,3.632968787970592,1.2144164012673748,1.539180525632812,0.3247641243654371,26.74240269042074,0.020281545442651705
1,117,316,0,1,high,high,0.3,supported,0.05577577325742089,0.08111216279726152,4.723797005996211,5.461278969883954,1.236516037638412,1.566335006101038,0.32981896846262604,26.67324631652479,0.02533638953984063
1,117,316,0,1,high,high,0.4,supported,0.418801794788763,0.5984062092272211,35.46942603912318,40.29066829433538,1.599542059169754,2.0836290525309975,0.4840869933612435,30.264099064235307,0.1796044144384581
2,513,467,0,0,high,high,0.0,supported,0.0,0.0,0.0,0.0,3.0704316342199105,3.3839365884468853,0.3135049542269748,10.21045219613319,0.0
2,513,467,0,0,high,high,0.05,supported,0.16311064254607466,0.15978885356585248,5.312303349412151,4.721981319371893,3.233542276765985,3.5437254420127378,0.3101831652467526,9.59267387581464,-0.0033217889802221734
2,513,467,0,0,high,high,0.1,supported,0.6440507291910427,0.2836806978473385,20.97590195505765,8.383156434309491,3.714482363410953,3.667617286294224,-0.04686507711672938,-1.2616852775602871,-0.36037003134370416
2,513,467,0,0,high,high,0.2,supported,0.7131684546006882,0.2836806978473385,23.226977166742202,8.383156434309491,3.7836000888205987,3.667617286294224,-0.11598280252637494,-3.065408600371622,-0.4294877567533497
2,513,467,0,0,high,high,0.3,supported,0.6930060751951546,0.3239132262426221,22.570314462358088,9.572083216585558,3.763437709415065,3.7078498146895074,-0.055587894725557696,-1.4770510107419144,-0.36909284895253247
