policy_id,variant,artifact_type,checkpoint_timestep,artifact_path,exists,bytes,sha256,selected_best_policy,canonical_reference,resolution,duplicate_hash_with_canonical
recovered_financial__checkpoint_22288,ORIGINAL_RECOVERED_22288,checkpoint,22288,outputs\models\ppo_operational\recovered_financial\seed_42\checkpoints\pilot_recovered_financial_22288_steps.zip,True,571746,4da787b4407b794c2bb60c89bc730f04b7c493a01983ce6f3859851c6125ce2b,False,False,renamed final_model records; canonical selection fixed to BALANCED__checkpoint_20000,False
BALANCED__checkpoint_20000,BALANCED,checkpoint,20000,outputs\models\ppo_training_redesign\balanced\seed_123\checkpoints\redesign_balanced_20000_steps.zip,True,571695,5ec6cd8cc16aad4c3ef4440dcf70d0d4eb3be4ea392495a078f5315b6019460a,True,True,renamed final_model records; canonical selection fixed to BALANCED__checkpoint_20000,False
BALANCED__final_model_20000,BALANCED,final_model,20000,outputs\models\ppo_training_redesign\balanced\seed_123\final_model.zip,True,571696,aeaecf76f9e02a7cafc6d407046b9c58e99a15fff1715cbff232e4caf3a1505d,False,False,renamed final_model records; canonical selection fixed to BALANCED__checkpoint_20000,False
BALANCED_STABLE__checkpoint_20000,BALANCED_STABLE,checkpoint,20000,outputs\models\ppo_training_redesign\balanced_stable\seed_123\checkpoints\redesign_balanced_stable_20000_steps.zip,True,571695,7ad57d28b434c3db01b194abb0037289b22b0172f65db770c3b747088e924f00,False,False,renamed final_model records; canonical selection fixed to BALANCED__checkpoint_20000,False
BALANCED_STABLE__final_model_20000,BALANCED_STABLE,final_model,20000,outputs\models\ppo_training_redesign\balanced_stable\seed_123\final_model.zip,True,571696,2d0d5755ac007cc127a4f9a673a4e0bdde35920bc7fdeb6e5653d1ac6fa60630,False,False,renamed final_model records; canonical selection fixed to BALANCED__checkpoint_20000,False
