segment_value,rows,mean_abs_prediction_difference,mean_pct_prediction_difference,mean_difference_in_implied_uplift,segment
102,6,0.3672478589759811,17.330556753545284,0.040809016141869714,product_id
104,18,0.3198683206782493,12.590892592194372,-0.0603928894948989,product_id
108,12,0.11910413975427998,27.730305621395285,0.024707270724374855,product_id
109,6,-0.009874736877299173,0.40130328156648787,-0.035517894698855745,product_id
11,30,0.2570853262335372,37.332559493636225,-0.003054405545491203,product_id
119,6,0.3090772245551689,12.984758577342033,-0.1000781583271549,product_id
127,12,0.009008700624540456,1.2498606061928745,0.002111991422426296,product_id
138,6,0.1675616677061447,41.84122158908034,-0.05431925508234565,product_id
145,6,0.17731184180425372,33.680621254149756,-0.03269693921806602,product_id
146,12,0.16995286918637156,36.49599724504221,-0.022291626877379494,product_id
18,6,0.07870019248846997,17.28057953791894,0.01705600211438855,product_id
19,12,-0.11102792517352654,-8.130552334850858,0.08070549039807974,product_id
190,6,0.003322272663356459,0.6982170045956101,-0.012455111624102214,product_id
212,6,0.022796830205604746,3.48760016436056,-0.025057895432291977,product_id
217,6,0.21045467342441757,50.350851503765234,0.021232493843866662,product_id
223,18,0.14199201330069974,22.753737380793776,0.00033765356918091175,product_id
240,6,-0.038094781613620864,-3.1092851731289914,-0.008050171158627014,product_id
250,6,-0.023449106008941113,-4.069668528356999,-0.0005070207343540375,product_id
253,6,0.00796898722207707,3.2253437303689734,-0.030036449664758814,product_id
259,12,0.17877221654398215,25.179661783239556,-0.002148436059593084,product_id
295,12,0.29482836985455524,29.28290505456009,-0.00628540241777729,product_id
296,6,0.3717016185596002,25.10633226968793,0.03885272579507585,product_id
300,6,0.5368565479652431,8.134210881701572,0.28694464297969696,product_id
316,6,0.32802711886324354,25.21043744481285,0.02354453994045813,product_id
320,6,0.1861067363977097,37.318088574518896,-0.038214675831326934,product_id
345,6,-0.033231251389012145,-4.335688996429306,0.00831534128146963,product_id
351,6,0.267402063157751,38.99431645711148,-0.010365009041964838,product_id
37,6,0.26758743723236417,14.417649750402882,-0.18681167197164164,product_id
381,6,0.12697717925533972,10.762999543331903,-0.01768316436276492,product_id
4,18,0.4655671476895012,33.59771458597378,-0.034183977708323016,product_id
41,12,0.300366949564853,21.80378463887436,-0.12835607778107205,product_id
411,6,-0.05674421343390024,-6.32207064662441,-0.06102738085772019,product_id
425,6,0.13473935270513057,31.021538389859643,-0.10331377717499816,product_id
426,6,0.25010580776714186,37.651616073684515,-0.06125288753562019,product_id
467,6,0.05568082090071661,2.0227238724785805,-0.25782413332625814,product_id
473,6,0.1424144694941705,30.5339306477391,0.013606278723896184,product_id
481,6,0.2587611051489736,23.690677282981184,-0.005350831118386227,product_id
489,12,0.19980156218827505,40.99162084129852,-0.024500953315102093,product_id
