episode_id,scenario_id,calibration_mode,episode_index,policy_id,normalized_profit,total_revenue,total_procurement_cost,total_disposal_cost,terminal_value,units_sold,units_expired,waste_rate,sell_through,average_markdown,number_of_markdown_changes,action_sequence,action_entropy,episode_length,runtime_seconds,candidate_sequences_evaluated,planning_horizon,reset_seed,deterministic_demand,initial_inventory,starting_age_profile_signature,episode_horizon,episode_conservation_error,raw_financial_sum_error
core_002__recovered_calibration__episode_01,core_002,recovered_calibration,1,always_0pct,0.28684780768792717,1.317479563414441,0.8579199737274122,0.012118746713588154,0.0,1.317479563414441,0.24237493427176304,0.15538304029721214,0.8446169597027879,,0,0|0|0,-0.0,3,0.05242510000243783,0,,20001,True,,,3.0,1.1102230246251565e-16,0.0
core_002__recovered_calibration__episode_01,core_002,recovered_calibration,1,limited_horizon_planning_policy,0.33071836127631854,1.3737924970316886,0.8579199737274122,0.0,0.0,1.5598544976862039,0.0,0.0,1.0,,1,4|0|0,0.6365141682948128,3,19.26386380000622,258,3.0,20001,True,,,3.0,0.0,0.0
core_002__recovered_calibration__episode_02,core_002,recovered_calibration,2,always_0pct,0.3137348640412255,1.3574223213022836,0.8579199737274122,0.010121608819196016,0.0,1.3574223213022836,0.2024321763839203,0.12977631996073752,0.8702236800392624,,0,0|0|0,-0.0,3,0.05522229999769479,0,,20002,True,,,3.0,0.0,0.0
core_002__recovered_calibration__episode_02,core_002,recovered_calibration,2,limited_horizon_planning_policy,0.3253026440151338,1.3711706164385458,0.8579199737274122,0.005825850334913049,0.0,1.4433374909879428,0.11651700669826098,0.07469735598486618,0.9253026440151337,,0,1|1|1,-0.0,3,21.200119799992535,258,3.0,20002,True,,,3.0,5.551115123125783e-17,0.0
core_002__recovered_calibration__episode_03,core_002,recovered_calibration,3,always_0pct,0.356760202095313,1.4213397185195575,0.8579199737274122,0.006925738958332312,0.0,1.4213397185195575,0.13851477916664623,0.08879980752827324,0.9112001924717267,,0,0|0|0,-0.0,3,0.046520200005033985,0,,20003,True,,,3.0,1.1102230246251565e-16,0.0
core_002__recovered_calibration__episode_03,core_002,recovered_calibration,3,limited_horizon_planning_policy,0.36089277376080814,1.4239102691977201,0.8579199737274122,0.003050079137061762,0.0,1.4988529149449685,0.06100158274123524,0.039107226239191786,0.9608927737608082,,0,1|1|1,-0.0,3,20.671167599997716,258,3.0,20003,True,,,3.0,1.1102230246251565e-16,0.0
core_003__recovered_calibration__episode_00,core_003,recovered_calibration,0,always_0pct,0.44999999999999996,3.1197089953724078,1.7158399474548245,0.0,0.0,3.1197089953724078,0.0,0.0,1.0,,0,0|0|0,-0.0,3,0.05344260000856593,0,,20000,True,,,3.0,0.0,0.0
core_003__recovered_calibration__episode_00,core_003,recovered_calibration,0,limited_horizon_planning_policy,0.44999999999999996,3.1197089953724078,1.7158399474548245,0.0,0.0,3.1197089953724078,0.0,0.0,1.0,,0,0|0|0,-0.0,3,19.292072599986568,258,3.0,20000,True,,,3.0,0.0,0.0
core_003__recovered_calibration__episode_01,core_003,recovered_calibration,1,always_0pct,-0.15219932794739763,1.3304836045107749,1.7158399474548245,0.08946126954308165,0.0,1.3304836045107749,1.789225390861633,0.5735231694737118,0.4264768305262881,,0,0|0|0,-0.0,3,0.061374699987936765,0,,20001,True,,,3.0,0.0,0.0
core_003__recovered_calibration__episode_01,core_003,recovered_calibration,1,limited_horizon_planning_policy,-0.0647642414550395,1.5413352097640192,1.7158399474548245,0.027540848954952103,0.0,2.5688920162733657,0.550816979099042,0.17656037146929135,0.8234396285307086,,0,5|5|5,-0.0,3,21.111707900010515,258,3.0,20001,True,,,3.0,0.0,0.0
