model_family,weighted,fold,action_accuracy,balanced_accuracy,macro_f1,positive_markdown_precision,positive_markdown_recall,planning_action_agreement
RandomForestClassifier,False,1,0.9280575539568345,0.9559576023391813,0.9137414288874144,0.9054054054054054,1.0,0.9280575539568345
RandomForestClassifier,False,2,0.920863309352518,0.9413551965276102,0.9280120086312037,0.90625,0.9508196721311475,0.920863309352518
RandomForestClassifier,False,3,0.9136690647482014,0.9229949182501105,0.9077689830149591,0.9285714285714286,0.9848484848484849,0.9136690647482014
RandomForestClassifier,False,4,0.9496402877697842,0.9334760273972602,0.937807881773399,0.9552238805970149,0.9696969696969697,0.9496402877697842
RandomForestClassifier,False,5,0.8913043478260869,0.8882141250562303,0.8486544415336985,0.8918918918918919,1.0,0.8913043478260869
RandomForestClassifier,True,1,0.9280575539568345,0.9181652046783625,0.9082325661284781,0.927536231884058,0.9552238805970149,0.9280575539568345
RandomForestClassifier,True,2,0.9136690647482014,0.678048388393216,0.7026589364254299,0.9649122807017544,0.9016393442622951,0.9136690647482014
RandomForestClassifier,True,3,0.8920863309352518,0.6724259832081307,0.6768348768348769,0.953125,0.9242424242424242,0.8920863309352518
RandomForestClassifier,True,4,0.935251798561151,0.8931506849315068,0.906678108033852,0.9701492537313433,0.9848484848484849,0.935251798561151
RandomForestClassifier,True,5,0.9347826086956522,0.8995023616734142,0.9051677489177489,0.9545454545454546,0.9545454545454546,0.9347826086956522
HistGradientBoostingClassifier,False,1,1.0,1.0,1.0,1.0,1.0,1.0
HistGradientBoostingClassifier,False,2,0.9712230215827338,0.9636363636363636,0.9708016877637131,1.0,0.9672131147540983,0.9712230215827338
HistGradientBoostingClassifier,False,3,0.9568345323741008,0.9472983257229831,0.9527149923896499,0.9696969696969697,0.9696969696969697,0.9568345323741008
HistGradientBoostingClassifier,False,4,0.9856115107913669,0.975,0.9834637268847795,1.0,0.9696969696969697,0.9856115107913669
HistGradientBoostingClassifier,False,5,0.9855072463768116,0.9930555555555556,0.9808538732394366,0.9705882352941176,1.0,0.9855072463768116
HistGradientBoostingClassifier,True,1,0.9856115107913669,0.9736842105263158,0.9826864535768645,1.0,0.9701492537313433,0.9856115107913669
HistGradientBoostingClassifier,True,2,0.9712230215827338,0.9636363636363636,0.975,1.0,0.9344262295081968,0.9712230215827338
HistGradientBoostingClassifier,True,3,0.9712230215827338,0.9722983257229831,0.9722983257229831,0.9696969696969697,0.9696969696969697,0.9712230215827338
HistGradientBoostingClassifier,True,4,1.0,1.0,1.0,1.0,1.0,1.0
HistGradientBoostingClassifier,True,5,0.9855072463768116,0.9930555555555556,0.9808538732394366,0.9705882352941176,1.0,0.9855072463768116
