markdown_rate,nearby_row_count,nearby_store_count,nearby_product_count,status
0.0,15105,225,174,supported
0.05,2401,178,136,supported
0.1,2941,160,119,supported
0.2,1654,137,100,supported
0.3,982,72,53,supported
0.4,576,40,25,supported
