scenario_id,calibration_mode,policy_id,policy_kind,normalized_accounting_profit,raw_accounting_profit,revenue,procurement_cost,disposal_cost,physical_waste_units,waste_rate,sell_through_rate,stockout_rate,average_markdown,terminal_inventory,episode_length,action_entropy,episode_conservation_error,raw_financial_sum_error,normalized_profit_always_zero,waste_rate_always_zero,physical_waste_units_always_zero,sell_through_rate_always_zero,average_markdown_always_zero,normalized_profit_difference,normalized_profit_sacrifice,physical_waste_reduction,waste_rate_reduction,sell_through_change,average_markdown_change,efficiency_label,waste_reduction_efficiency,normalized_profit_sacrifice_per_0p10_waste_rate_reduction,physical_waste_units_reduced_per_normalized_profit_unit_sacrificed
core_002,recovered_calibration,always_10pct,fixed_or_rule_policy,0.30899345913850035,0.48198483699280803,1.3432713495200814,0.8579199737274122,0.003366538799861222,0.06733077599722444,0.04316477985421008,0.9568352201457899,0.29166666666666663,0.10000000000000002,0.0,2.75,0.0,2.7755575615628914e-17,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.08478784053994365,0.08478784053994365,0.01618635976530118,0.010376839499652742,0.010376839499652735,0.10000000000000002,MATERIAL_PROFIT_SACRIFICE,0.12238593922868221,0.8170873274351123,0.1909042577594103
core_002,recovered_calibration,always_20pct,fixed_or_rule_policy,0.2475615810029514,0.3861600455817612,1.2443037592409258,0.8579199737274122,0.000223739931752337,0.0044747986350467395,0.002868728231821873,0.9971312717681782,0.41666666666666663,0.20000000000000004,0.0,2.75,0.0,0.0,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.1462197186754926,0.1462197186754926,0.07904233712747888,0.050672891122040944,0.050672891122040986,0.20000000000000004,MATERIAL_PROFIT_SACRIFICE,0.34655306124955676,0.28855610058509595,0.5405723512770436
core_002,recovered_calibration,always_40pct,fixed_or_rule_policy,0.04999999999999991,0.07799272488431006,0.9359126986117223,0.8579199737274122,0.0,0.0,0.0,1.0,0.5625,0.4,0.0,1.875,0.0,0.0,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.34378129967844406,0.34378129967844406,0.08351713576252562,0.05354161935386282,0.05354161935386281,0.4,MATERIAL_PROFIT_SACRIFICE,0.15574325713452997,0.6420823722315033,0.24293682012559553
core_002,recovered_calibration,always_5pct,fixed_or_rule_policy,0.36961738589708654,0.5765493418145877,1.4368389384049947,0.8579199737274122,0.002369622862994684,0.04739245725989368,0.030382614102913354,0.9696173858970867,0.35416666666666663,0.05000000000000001,0.0,2.625,0.0,3.469446951953614e-17,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.02416391378135746,0.02416391378135746,0.036124678502631936,0.023159005250949466,0.023159005250949494,0.05000000000000001,MATERIAL_PROFIT_SACRIFICE,0.9584128407549904,0.10433916966432225,1.4949845802918833
core_002,recovered_calibration,expiry_threshold_rule,fixed_or_rule_policy,0.04999999999999991,0.07799272488431006,0.9359126986117223,0.8579199737274122,0.0,0.0,0.0,1.0,0.5625,0.4,0.0,1.875,0.0,0.0,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.34378129967844406,0.34378129967844406,0.08351713576252562,0.05354161935386282,0.05354161935386281,0.4,MATERIAL_PROFIT_SACRIFICE,0.15574325713452997,0.6420823722315033,0.24293682012559553
core_002,recovered_calibration,inventory_coverage_rule,fixed_or_rule_policy,0.19865820350921898,0.3098778922461164,1.1677978659735286,0.8579199737274122,0.0,0.0,0.0,1.0,0.4375,0.20208333333333334,0.0,2.625,0.6217912888377648,0.0,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.19512309616922502,0.19512309616922502,0.08351713576252562,0.05354161935386282,0.05354161935386281,0.20208333333333334,MATERIAL_PROFIT_SACRIFICE,0.27439918905052435,0.36443256390815093,0.42802280920190733
core_002,recovered_calibration,selected_observed_financial_ppo,ppo_cross_scenario_financial_policy,0.283833607402016,0.4427391291005349,1.3020698712402097,0.8579199737274122,0.0014107684122625934,0.028215368245251865,0.0180884616399189,0.9819115383600812,0.375,0.15,0.0,2.75,0.5569498972579612,4.163336342344337e-17,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.10994769227642798,0.10994769227642798,0.05530176751727375,0.03545315771394392,0.03545315771394397,0.15,MATERIAL_PROFIT_SACRIFICE,0.3224547689896792,0.31012101422262023,0.5029825217089169
core_002,recovered_calibration,selected_recovered_financial_ppo,ppo_cross_scenario_financial_policy,0.30489401166821106,0.47559029541824893,1.3355472153321475,0.8579199737274122,0.002036946186486191,0.04073892372972382,0.02611713066196465,0.9738828693380354,0.4375,0.13020833333333334,0.0,2.625,0.8528403490244132,2.7755575615628914e-17,0.0,0.393781299678444,0.05354161935386282,0.08351713576252562,0.9464583806461372,0.0,-0.08888728801023293,0.08888728801023293,0.0427782120328018,0.02742448869189817,0.027424488691898175,0.13020833333333334,MATERIAL_PROFIT_SACRIFICE,0.3085310543926258,0.3241164822026101,0.4812635528702041
core_003,observed_calibration,always_20pct,fixed_or_rule_policy,0.03334723242686638,0.08249052231909051,1.4745421634210636,1.3605263157894738,0.03152532531249933,0.6305065062499866,0.2548856089095691,0.745114391090431,0.0625,0.20000000000000004,0.0,2.875,0.0,1.3877787807814457e-16,6.938893903907228e-18,0.15768298493398658,0.27839715720572716,0.6886666520352198,0.7216028427942729,0.0,-0.1243357525071202,0.1243357525071202,0.05816014578523321,0.02351154829615809,0.02351154829615809,0.20000000000000004,MATERIAL_PROFIT_SACRIFICE,0.18909724533827613,0.5288284333339175,0.46776687004731493
core_003,observed_calibration,always_40pct,fixed_or_rule_policy,0.05,0.12368421052631581,1.4842105263157896,1.3605263157894738,0.0,0.0,0.0,1.0,0.35416666666666663,0.4000000000000001,0.0,2.875,0.0,0.0,0.0,0.15768298493398658,0.27839715720572716,0.6886666520352198,0.7216028427942729,0.0,-0.10768298493398658,0.10768298493398658,0.6886666520352198,0.27839715720572716,0.2783971572057271,0.4000000000000001,MATERIAL_PROFIT_SACRIFICE,2.585340268719281,0.038679628058993464,6.395315401568748
