state_id,scenario_id,calibration_mode,source_policy,episode_index,day,prefix_actions,inventory_coverage_state,fraction_expiring_today,fraction_expiring_within_two_days,predicted_baseline_demand,episode_day,episode_period,remaining_inventory_life,shelf_life_class,scenario_inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,action,markdown,predicted_demand_after_action,sales,revenue,expired_units,disposal_cost,immediate_financial_reward,terminated_after_action,preferred_one_step_action
state_0002,core_002,observed_calibration,always_0pct,1,1,0,1.9010639190673828,0.46922096610069275,1.0,0.47374415397644043,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,2,0.1,0.48150201081617855,0.48150201081617855,0.4333518097345607,0.0,0.0,0.3503695482960278,False,4
state_0002,core_002,observed_calibration,always_0pct,1,1,0,1.9010639190673828,0.46922096610069275,1.0,0.47374415397644043,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,0.2,0.5052731527491285,0.5052731527491285,0.40421852219930293,0.0,0.0,0.326814975395181,False,4
state_0002,core_002,observed_calibration,always_0pct,1,1,0,1.9010639190673828,0.46922096610069275,1.0,0.47374415397644043,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,4,0.3,0.6991944417584679,0.6991944417584679,0.48943610923092745,0.0,0.0,0.39571430108032435,False,4
state_0002,core_002,observed_calibration,always_0pct,1,1,0,1.9010639190673828,0.46922096610069275,1.0,0.47374415397644043,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,5,0.4,1.069251267750524,0.7767463969830994,0.4660478381898597,0.0,0.0,0.3768046351322269,True,4
state_0003,core_002,observed_calibration,always_0pct,1,2,0|0,0.7229486703872681,1.0,1.0,0.42175689339637756,2,late,1,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0,0.0,0.42175689545625483,0.3030022398746086,0.3030022398746085,0.0,0.0,0.24498053436670483,True,0
state_0003,core_002,observed_calibration,always_0pct,1,2,0|0,0.7229486703872681,1.0,1.0,0.42175689339637756,2,late,1,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,1,0.05,0.4630136386291023,0.3030022398746086,0.2878521278808782,0.0,0.0,0.23273150764836956,True,0
state_0003,core_002,observed_calibration,always_0pct,1,2,0|0,0.7229486703872681,1.0,1.0,0.42175689339637756,2,late,1,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,2,0.1,0.4626791340462596,0.3030022398746086,0.2727020158871477,0.0,0.0,0.22048248093003436,True,0
state_0003,core_002,observed_calibration,always_0pct,1,2,0|0,0.7229486703872681,1.0,1.0,0.42175689339637756,2,late,1,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,0.2,0.4470081071326803,0.3030022398746086,0.2424017918996869,0.0,0.0,0.19598442749336387,True,0
state_0003,core_002,observed_calibration,always_0pct,1,2,0|0,0.7229486703872681,1.0,1.0,0.42175689339637756,2,late,1,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,4,0.3,0.5911363696271836,0.3030022398746086,0.2121015679122259,0.0,0.0,0.17148637405669337,True,0
state_0003,core_002,observed_calibration,always_0pct,1,2,0|0,0.7229486703872681,1.0,1.0,0.42175689339637756,2,late,1,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,5,0.4,0.916549299680385,0.3030022398746086,0.1818013439247651,0.0,0.0,0.14698832062002287,True,0
state_0004,core_002,recovered_calibration,always_0pct,0,0,,1.220010757446289,0.3333333432674408,0.6666666865348816,1.6501003503799438,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0,0.0,1.6501003713604607,1.5598544976862039,1.5598544976862039,0.0,0.0,0.44999999999999996,True,0
state_0004,core_002,recovered_calibration,always_0pct,0,0,,1.220010757446289,0.3333333432674408,0.6666666865348816,1.6501003503799438,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,1,0.05,1.768569408334498,1.5598544976862039,1.4818617728018937,0.0,0.0,0.3999999999999999,True,0
state_0004,core_002,recovered_calibration,always_0pct,0,0,,1.220010757446289,0.3333333432674408,0.6666666865348816,1.6501003503799438,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,2,0.1,1.777958354854626,1.5598544976862039,1.4038690479175835,0.0,0.0,0.3499999999999999,True,0
state_0004,core_002,recovered_calibration,always_0pct,0,0,,1.220010757446289,0.3333333432674408,0.6666666865348816,1.6501003503799438,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,0.2,1.7417683549738312,1.5598544976862039,1.247883598148963,0.0,0.0,0.24999999999999992,True,0
