model_family,trained,reason,paired_gain_vs_baseline,win_rate,waste_rate_difference,eligible
GATED_PPO,False,Training not run. Re-run with --run-training after reviewing expanded planning results.,,,,False
GATED_DQN,False,Training not run. Re-run with --run-training after reviewing expanded planning results.,,,,False
PLANNING_DISTILLED_POLICY,False,Training not run. Re-run with --run-training after reviewing expanded planning results.,,,,False
