target,model_type,time_split,n,mae,rmse,median_absolute_error,mean_bias,abs_mean_bias,r2_log_target,segment,segment_value
observed,hist_gradient_boosting,validation,3638,0.33714563934499,0.7184386942916886,0.18148947998005793,-0.07424678409849844,0.07424678409849844,0.8396463298028909,promotion_status,non_promotion
observed,hist_gradient_boosting,validation,2062,0.3134940548672836,0.48420758260494645,0.21656172291345172,0.04622289811175913,0.04622289811175913,0.6889602123921859,promotion_status,promotion
observed,hist_gradient_boosting,validation,2251,0.30597536107129336,0.6523292448056216,0.16516151251606082,-0.03273716459986628,0.03273716459986628,0.830665815026748,possible_stockout_status,not_possible_stockout
observed,hist_gradient_boosting,validation,3449,0.34334880814784885,0.6378746927037828,0.21093339906657455,-0.029314823754592934,0.029314823754592934,0.7881130504372643,possible_stockout_status,possible_stockout
observed,hist_gradient_boosting,validation,459,0.3902595551691879,0.686310927673586,0.20196647041693594,-0.11096770826035414,0.11096770826035414,0.8266775735829058,markdown_bin,"(0.001, 0.05]"
observed,hist_gradient_boosting,validation,567,0.2708916431204239,0.45186642176760555,0.17041543640291656,0.005713480747403503,0.005713480747403503,0.779377033145914,markdown_bin,"(0.05, 0.1]"
observed,hist_gradient_boosting,validation,933,0.291530049661838,0.49875737973894313,0.18293884104021196,0.01107739317196673,0.01107739317196673,0.7061370778668051,markdown_bin,"(0.1, 0.2]"
observed,hist_gradient_boosting,validation,548,0.34239549458446356,0.569088440337783,0.24049591061807699,0.022462868238946342,0.022462868238946342,0.712276712529067,markdown_bin,"(0.2, 0.3]"
observed,hist_gradient_boosting,validation,613,0.6879295968679056,1.3501274592897874,0.3609356355790623,-0.09195367625767724,0.09195367625767724,0.8640765456015524,markdown_bin,"(0.3, 1.0]"
observed,hist_gradient_boosting,validation,2580,0.25538944548630527,0.44122629925280266,0.16930777064810715,-0.03619411093589019,0.03619411093589019,0.7534123365744851,markdown_bin,0%
observed,hist_gradient_boosting,validation,2006,0.5989707250941004,1.0242564655621564,0.39156029270175635,-0.1847388236399558,0.1847388236399558,0.7385158930231697,demand_volume_group,high
observed,hist_gradient_boosting,validation,1714,0.1497851231483101,0.25295968644894196,0.10646019727759301,0.08657435092384703,0.08657435092384703,-0.07511198683823062,demand_volume_group,low
observed,hist_gradient_boosting,validation,1980,0.20944121285779962,0.2725167366315921,0.1754970103781876,0.023939120249690655,0.023939120249690655,-0.15205994646063048,demand_volume_group,medium
observed,hist_gradient_boosting,test,3615,0.4461314068607663,1.3707010562558255,0.20024048602472433,-0.20598783213799152,0.20598783213799152,0.8227908889306063,promotion_status,non_promotion
observed,hist_gradient_boosting,test,2085,0.3663599848978501,0.587328113928907,0.22732592330141355,-0.001509233663003022,0.001509233663003022,0.7457400336185492,promotion_status,promotion
observed,hist_gradient_boosting,test,2321,0.39387766865867424,1.1683391659345868,0.1864841583843202,-0.1394685478773406,0.1394685478773406,0.8076731238258938,possible_stockout_status,not_possible_stockout
observed,hist_gradient_boosting,test,3379,0.4328012830295664,1.1337025342278753,0.2263340548733087,-0.12550644147466505,0.12550644147466505,0.7968891961444139,possible_stockout_status,possible_stockout
observed,hist_gradient_boosting,test,605,0.7560208345677801,2.2952487253873164,0.24901204341860694,-0.4857539601094318,0.4857539601094318,0.7988827009613315,markdown_bin,"(0.001, 0.05]"
observed,hist_gradient_boosting,test,534,0.3536810683202384,0.5579881069992375,0.23081045284626345,-0.0804245992239225,0.0804245992239225,0.7910835882664107,markdown_bin,"(0.05, 0.1]"
observed,hist_gradient_boosting,test,956,0.3050598014893365,0.47055029629027695,0.19571198557055947,-0.0737767256064899,0.0737767256064899,0.7577731480931458,markdown_bin,"(0.1, 0.2]"
observed,hist_gradient_boosting,test,521,0.33910496016083924,0.548810647360551,0.22340038081071656,-0.08325048512765386,0.08325048512765386,0.7650170277143602,markdown_bin,"(0.2, 0.3]"
observed,hist_gradient_boosting,test,572,1.032049984696831,2.420143192360089,0.4166076101893352,-0.2580761023332893,0.2580761023332893,0.851953963276219,markdown_bin,"(0.3, 1.0]"
observed,hist_gradient_boosting,test,2512,0.26740599649800295,0.4179553087276937,0.17869601498258522,-0.059490963594134694,0.059490963594134694,0.6989236067930074,markdown_bin,0%
observed,hist_gradient_boosting,test,2205,0.7748003166943732,1.8119310242914535,0.42101912887339865,-0.4082370756280797,0.4082370756280797,0.7347752426380372,demand_volume_group,high
observed,hist_gradient_boosting,test,1442,0.1645861508834389,0.2804384922416105,0.10995031540645406,0.09040346853711706,0.09040346853711706,-0.22738191037938926,demand_volume_group,low
observed,hist_gradient_boosting,test,2053,0.2098673533505485,0.2778908917322843,0.17486368162251642,0.010720012061954321,0.010720012061954321,-0.13570645182091967,demand_volume_group,medium
observed,ridge,validation,3638,0.43372408009075136,0.9038676399954773,0.2428038942646219,-0.11875935194230353,0.11875935194230353,0.7366657905239966,promotion_status,non_promotion
observed,ridge,validation,2062,0.33056510064199424,0.4677231993715784,0.24165016834636885,-0.04284654365808653,0.04284654365808653,0.6550538008637916,promotion_status,promotion
observed,ridge,validation,2251,0.3792436180689182,0.8213719408550983,0.21831577118178735,-0.07067413804977865,0.07067413804977865,0.7371110235309641,possible_stockout_status,not_possible_stockout
observed,ridge,validation,3449,0.4076068589796494,0.7431163441931713,0.25812878208163526,-0.1047574980107344,0.1047574980107344,0.7057161563497989,possible_stockout_status,possible_stockout
observed,ridge,validation,459,0.5831203295184729,1.047206644456848,0.2864380703305983,-0.2731909343827752,0.2731909343827752,0.6659921557725994,markdown_bin,"(0.001, 0.05]"
observed,ridge,validation,567,0.32664090541576135,0.5949346025268366,0.19663294293973776,-0.02504633725247587,0.02504633725247587,0.7041161855983211,markdown_bin,"(0.05, 0.1]"
observed,ridge,validation,933,0.3482490220586815,0.6121766290924715,0.2131222689340273,-0.08276561434309895,0.08276561434309895,0.6235753435648279,markdown_bin,"(0.1, 0.2]"
observed,ridge,validation,548,0.3967745036356917,0.5803074145647512,0.2833931222370597,-0.10747743115160527,0.10747743115160527,0.5599160434073956,markdown_bin,"(0.2, 0.3]"
observed,ridge,validation,613,0.6709270079653675,1.3842509725822838,0.3528194063209622,-0.3042262976603487,0.3042262976603487,0.8500666199566473,markdown_bin,"(0.3, 1.0]"
observed,ridge,validation,2580,0.3306313158210661,0.6258060523915298,0.23137108534012132,-0.022554849754357478,0.022554849754357478,0.6141509148891009,markdown_bin,0%
observed,ridge,validation,2006,0.7203493457362445,1.19159606273943,0.4580788391811935,-0.45426319019983996,0.45426319019983996,0.6139837322294919,demand_volume_group,high
observed,ridge,validation,1714,0.22669313546177475,0.5032556486312262,0.17526472698422668,0.18300162770852657,0.18300162770852657,-1.0186939981039993,demand_volume_group,low
observed,ridge,validation,1980,0.2151215248310894,0.26669940688688776,0.18433233856966236,0.03898539104009583,0.03898539104009583,-0.22910700023541586,demand_volume_group,medium
observed,ridge,test,3615,0.48057167877595364,1.1581464084690685,0.2459822670849805,-0.26731107805480336,0.26731107805480336,0.7528065669639188,promotion_status,non_promotion
observed,ridge,test,2085,0.4066387795268592,0.641833335879606,0.2592508769563413,-0.16236375650903445,0.16236375650903445,0.6879175472083962,promotion_status,promotion
observed,ridge,test,2321,0.43861892281201026,0.9900379918105486,0.24654791849405133,-0.20513463236042684,0.20513463236042684,0.7456753610709563,possible_stockout_status,not_possible_stockout
observed,ridge,test,3379,0.4637685570411062,1.0079206640865093,0.25418692280544947,-0.24526205912426757,0.24526205912426757,0.727577793488444,possible_stockout_status,possible_stockout
