state_id,scenario_id,calibration_mode,source_policy,episode_index,day,prefix_actions,inventory_coverage_state,fraction_expiring_today,fraction_expiring_within_two_days,predicted_baseline_demand,episode_day,episode_period,remaining_inventory_life,shelf_life_class,scenario_inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,first_action,first_markdown,continuation_policy,first_step_reward,total_normalized_accounting_profit,total_waste_rate,sell_through_rate,terminal_inventory,continuation_return,action_value_difference_vs_first_action_0pct,preferred_multistep_first_action,continuation_action_0_share,continuation_action_1_share,continuation_action_2_share,continuation_action_3_share,continuation_action_4_share,continuation_action_5_share
state_0000,core_002,observed_calibration,always_0pct,0,0,,1.10713791847229,0.3333333432674408,0.6666666865348816,1.5271564722061157,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,5,0.4,greedy_financial,0.049999999999999926,0.049999999999999926,0.0,1.0,1.1102230246251565e-16,0.0,-0.4,0,,,,,,
state_0001,core_002,observed_calibration,always_0pct,1,0,,3.0921051502227783,0.3333333432674408,0.6666666865348816,0.46009570360183716,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0,0.0,always_0pct,-0.1780077252203781,0.45000000000000007,0.0,1.0,0.0,0.6280077252203782,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
state_0001,core_002,observed_calibration,always_0pct,1,0,,3.0921051502227783,0.3333333432674408,0.6666666865348816,0.46009570360183716,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,1,0.05,always_0pct,-0.1918975308146817,0.43115250162182545,0.0,1.0,0.0,0.6230500324365071,-0.01884749837817462,0,1.0,0.0,0.0,0.0,0.0,0.0
state_0001,core_002,observed_calibration,always_0pct,1,0,,3.0921051502227783,0.3333333432674408,0.6666666865348816,0.46009570360183716,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,2,0.1,always_0pct,-0.21098896936912864,0.41233210770768103,0.0,1.0000000000000002,0.0,0.6233210770768096,-0.03766789229231904,0,1.0,0.0,0.0,0.0,0.0,0.0
state_0001,core_002,observed_calibration,always_0pct,1,0,,3.0921051502227783,0.3333333432674408,0.6666666865348816,0.46009570360183716,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,3,0.2,always_0pct,-0.23022835278080134,0.37005708819520045,0.0,1.0,0.0,0.6002854409760018,-0.07994291180479962,0,1.0,0.0,0.0,0.0,0.0,0.0
state_0001,core_002,observed_calibration,always_0pct,1,0,,3.0921051502227783,0.3333333432674408,0.6666666865348816,0.46009570360183716,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,4,0.3,always_0pct,-0.16662083766283753,0.28569464471264466,0.0,1.0000000000000002,0.0,0.45231548237548225,-0.1643053552873554,0,1.0,0.0,0.0,0.0,0.0,0.0
state_0001,core_002,observed_calibration,always_0pct,1,0,,3.0921051502227783,0.3333333432674408,0.6666666865348816,0.46009570360183716,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,5,0.4,always_0pct,-0.028668212891023673,0.10244547526068254,0.0,1.0,0.0,0.1311136881517062,-0.3475545247393175,0,1.0,0.0,0.0,0.0,0.0,0.0
state_0001,core_002,observed_calibration,always_0pct,1,0,,3.0921051502227783,0.3333333432674408,0.6666666865348816,0.46009570360183716,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0,0.0,expiry_threshold_rule,-0.1780077252203781,0.19879690991184878,0.0,1.0000000000000002,0.0,0.3768046351322269,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
state_0001,core_002,observed_calibration,always_0pct,1,0,,3.0921051502227783,0.3333333432674408,0.6666666865348816,0.46009570360183716,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,1,0.05,expiry_threshold_rule,-0.1918975308146817,0.18193248864722253,0.0,1.0,5.551115123125783e-17,0.3738300194619042,-0.016864421264626256,0,0.0,0.0,0.0,0.0,0.0,1.0
state_0001,core_002,observed_calibration,always_0pct,1,0,,3.0921051502227783,0.3333333432674408,0.6666666865348816,0.46009570360183716,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,2,0.1,expiry_threshold_rule,-0.21098896936912864,0.16300367687695713,0.0,1.0,0.0,0.3739926462460858,-0.03579323303489165,0,0.0,0.0,0.0,0.0,0.0,1.0
