scenario_id,episode_index,step_index,inventory_coverage,fraction_expiring_today,fraction_expiring_within_two_days,projected_sell_through_proxy,recovered_demand_forecast_proxy,current_inventory_proxy,remaining_shelf_life_proxy,episode_day_proxy,obs_00,obs_01,obs_02,obs_03,obs_04,obs_05,obs_06,obs_07,obs_08,obs_09,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,episode_id,group_id,planning_action,best_planning_action_value,decision_importance,label_runtime_seconds,candidate_sequences_evaluated
core_002,1,0,1.7136812210083008,0.3333333432674408,0.6666666865348816,0.1945130396371579,0.3333333432674408,1.0,0.095238097012043,0,1.0,1.7136812210083008,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.6666666865348816,0.095238097012043,1.014119029045105,0.8669900894165039,0.8669900894165039,0.8669900894165039,0.8669900894165039,1.1102230246251563e-16,1.0,0.0,0.0,0.3727500140666961,0.0,1.0,1.0,0.1449999958276748,0.1500000059604644,train__core_002__episode_00001,core_002__1,0,0.4499999999999998,0.0352977960501267,4913.760719099984,82644
core_002,2,0,1.8902807235717771,0.3333333432674408,0.6666666865348816,0.1763406562373398,0.3333333432674408,1.0,0.095238097012043,0,1.0,1.8902807235717771,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.6666666865348816,0.095238097012043,1.1202094554901123,0.3000000119209289,0.8669900894165039,0.7859914898872375,0.8264907598495483,0.1984051913022995,1.0,1.0,0.0,0.3942500054836273,0.0,0.0,1.0,0.1449999958276748,0.1500000059604644,train__core_002__episode_00002,core_002__2,0,0.4499999999999998,0.0397395309964334,4913.760719099984,82644
core_002,3,0,2.0195088386535645,0.3333333432674408,0.6666666865348816,0.1650566399549302,0.3333333432674408,1.0,0.095238097012043,0,1.0,2.0195088386535645,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.6666666865348816,0.095238097012043,1.023308277130127,0.5149214267730713,0.8669900894165039,0.7356959581375122,0.8013430237770081,0.2153943479061126,1.0,1.0,0.0,0.3852500021457672,0.0,1.0,1.0,0.1449999958276748,0.1500000059604644,train__core_002__episode_00003,core_002__3,0,0.4499999999999998,0.0362467291976984,4913.760719099984,82644
core_002,4,0,2.1744656562805176,0.3333333432674408,0.6666666865348816,0.1532943701845429,0.3333333432674408,1.0,0.095238097012043,0,1.0,2.1744656562805176,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.6666666865348816,0.095238097012043,0.8473653793334961,0.5,0.8669900894165039,0.6832687854766846,0.7751294374465942,0.2216294407844543,0.0,0.0,0.0,0.3819999992847442,0.0,0.0,1.0,0.1449999958276748,0.1500000059604644,train__core_002__episode_00004,core_002__4,0,0.4499999999999999,0.0294950595550149,4913.760719099984,82644
core_002,5,0,2.386766195297241,0.3333333432674408,0.6666666865348816,0.139658984580988,0.3333333432674408,1.0,0.095238097012043,0,1.0,2.386766195297241,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.6666666865348816,0.095238097012043,0.8219150304794312,0.4415574073791504,0.8669900894165039,0.6224927306175232,0.7447413802146912,0.2212471216917038,1.0,0.0,0.0,0.3912500143051147,0.0,1.0,1.0,0.1449999958276748,0.1500000059604644,train__core_002__episode_00005,core_002__5,0,0.4499999999999999,0.0286775857184324,4913.760719099984,82644
core_002,6,0,2.818135023117065,0.3333333432674408,0.6666666865348816,0.1182815374469706,0.3333333432674408,1.0,0.095238097012043,0,1.0,2.818135023117065,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.6666666865348816,0.095238097012043,0.7050905823707581,0.2000000029802322,0.8669900894165039,0.5272084474563599,0.6970992684364319,0.2383932918310165,1.0,0.0,0.0,0.4052500128746032,0.0,0.0,1.0,0.1449999958276748,0.1500000059604644,train__core_002__episode_00006,core_002__6,0,0.4499999999999999,0.024680826106975,4913.760719099984,82644
core_002,6,1,1.548671007156372,0.3655983507633209,1.0,0.1240393492699747,0.1920961439609527,0.5254294872283936,0.0778286531567573,1,0.5254294872283936,1.548671007156372,0.1920961439609527,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3655983507633209,1.0,0.0778286531567573,0.7164438962936401,0.7050905823707581,0.8669900894165039,0.5040799379348755,0.6855350136756897,0.2105318158864975,1.0,0.0,0.3333333432674408,0.3980000019073486,0.0,0.0,1.0,0.1449999958276748,0.1500000059604644,train__core_002__episode_00006,core_002__6,0,0.5254294758870104,0.0250113444735029,4913.760719099984,82644
core_002,7,0,3.037916421890259,0.3333333432674408,0.6666666865348816,0.1097243297628423,0.3333333432674408,1.0,0.095238097012043,0,1.0,3.037916421890259,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.6666666865348816,0.095238097012043,0.7330811023712158,0.6000000238418579,0.8669900894165039,0.4890669882297516,0.6780285239219666,0.1990991085767746,1.0,0.0,0.0,0.3980000019073486,0.0,1.0,1.0,0.1449999958276748,0.1500000059604644,train__core_002__episode_00007,core_002__7,0,0.4499999999999998,0.0255799693383346,4913.760719099984,82644
core_002,7,1,1.6016258001327517,0.3420058190822601,1.0,0.1081755519053343,0.1732567548751831,0.5065900683403015,0.0789521038532257,1,0.5065900683403015,1.6016258001327517,0.1732567548751831,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3420058190822601,1.0,0.0789521038532257,0.6985813975334167,0.7330811023712158,0.3000000119209289,0.4699371457099914,0.6684635877609253,0.1654597818851471,1.0,0.0,0.3333333432674408,0.3959999978542328,0.0,0.0,1.0,0.1449999958276748,0.1500000059604644,train__core_002__episode_00007,core_002__7,0,0.5065900841003222,0.0242141065814727,4913.760719099984,82644
core_002,8,0,3.640920400619507,0.3333333432674408,0.6666666865348816,0.091551944725494,0.3333333432674408,1.0,0.095238097012043,0,1.0,3.640920400619507,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.6666666865348816,0.095238097012043,0.6579239964485168,0.3000000119209289,0.3000000119209289,0.4080684185028076,0.6375292539596558,0.133351445198059,1.0,0.0,0.0,0.3959999978542328,0.0,0.0,1.0,0.1449999958276748,0.1500000059604644,train__core_002__episode_00008,core_002__8,0,0.4499999999999999,0.0228289886998056,4913.760719099984,82644
