state_id,target,selected_model_type,store_id,product_id,activity_flag,possible_stockout_flag,stockout_risk_group,demand_volume_group,markdown_rate,predicted_demand,absolute_uplift_vs_zero,percentage_uplift_vs_zero,support_status
7,observed,hist_gradient_boosting,802,591,0,1,high,low,0.2,0.40751720505325584,0.11276203987250205,38.25617094898153,supported
7,observed,hist_gradient_boosting,802,591,0,1,high,low,0.3,0.4907444594427922,0.19598929426203843,66.49223403493241,supported
7,observed,hist_gradient_boosting,802,591,0,1,high,low,0.4,0.8309044352612751,0.5361492700805213,181.8964799995062,supported
8,observed,hist_gradient_boosting,507,715,0,1,high,low,0.0,0.2931801664085034,0.0,0.0,supported
8,observed,hist_gradient_boosting,507,715,0,1,high,low,0.05,0.36000021766196016,0.06682005125345675,22.791463717348748,supported
8,observed,hist_gradient_boosting,507,715,0,1,high,low,0.1,0.35698965550562367,0.06380948909712025,21.764599522128346,supported
8,observed,hist_gradient_boosting,507,715,0,1,high,low,0.2,0.385922708067858,0.09274254165935458,31.633293205152047,supported
8,observed,hist_gradient_boosting,507,715,0,1,high,low,0.3,0.4905323751603981,0.1973522087518947,67.3143109131446,supported
8,observed,hist_gradient_boosting,507,715,0,1,high,low,0.4,0.7940451798038954,0.500865013395392,170.83864148487805,supported
9,observed,hist_gradient_boosting,115,779,0,0,high,low,0.0,0.3630563468806759,0.0,0.0,supported
9,observed,hist_gradient_boosting,115,779,0,0,high,low,0.05,0.38361604103232344,0.020559694151647545,5.662948555587377,supported
9,observed,hist_gradient_boosting,115,779,0,0,high,low,0.1,0.3785998433690173,0.015543496488341413,4.281290389739434,supported
9,observed,hist_gradient_boosting,115,779,0,0,high,low,0.2,0.3838140618372735,0.020757714956597617,5.717491275099507,supported
9,observed,hist_gradient_boosting,115,779,0,0,high,low,0.3,0.41623739817956124,0.05318105129888534,14.648153587124613,supported
9,observed,hist_gradient_boosting,115,779,0,0,high,low,0.4,0.5153536030781862,0.15229725619751033,41.94865549274234,supported
10,observed,hist_gradient_boosting,17,381,0,1,high,medium,0.0,1.00382298379255,0.0,0.0,supported
10,observed,hist_gradient_boosting,17,381,0,1,high,medium,0.05,1.1027802332814316,0.09895724948888152,9.858037830037581,supported
10,observed,hist_gradient_boosting,17,381,0,1,high,medium,0.1,1.1904635487223607,0.18664056492981063,18.592975847660178,supported
10,observed,hist_gradient_boosting,17,381,0,1,high,medium,0.2,1.1261577811906411,0.12233479739809106,12.186889458926032,supported
10,observed,hist_gradient_boosting,17,381,0,1,high,medium,0.3,1.1920066475358704,0.1881836637433203,18.746698051517253,supported
10,observed,hist_gradient_boosting,17,381,0,1,high,medium,0.4,1.5576572875640777,0.5538343037715276,55.17250677794632,supported
