scenario_id,policy_id,policy_kind,calibration_mode,training_calibration_mode,cross_scenario_policy_evaluation,cross_calibration_policy_evaluation,episode_index,episode_id,shelf_life_class,inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,normalized_episode_return,normalized_accounting_profit,raw_accounting_profit,revenue,procurement_cost,disposal_cost,physical_waste_units,waste_rate,sell_through_rate,stockout_rate,average_markdown,maximum_markdown,first_markdown_day,terminal_inventory,episode_length,initial_inventory,action_entropy,episode_conservation_error,raw_financial_sum_error,action_0_share,action_1_share,action_2_share,action_3_share,action_4_share,action_5_share
core_002,always_5pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,3,core_002__recovered_calibration__episode_03,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.3608927737608081,0.36089277376080814,0.5629402163332462,1.4239102691977201,0.8579199737274122,0.003050079137061762,0.06100158274123524,0.039107226239191786,0.9608927737608082,0.3333333333333333,0.05000000000000001,0.05,0,0.0,3,1.5598544976862039,-0.0,1.1102230246251565e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0
core_002,always_5pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,4,core_002__recovered_calibration__episode_04,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.3902379624691339,0.39023796246913384,0.6087144409253784,1.4673957825602457,0.8579199737274122,0.0007613679074551461,0.01522735814910292,0.009762037530866043,0.990237962469134,0.3333333333333333,0.05000000000000001,0.05,0,0.0,3,1.5598544976862039,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
core_002,always_5pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,5,core_002__recovered_calibration__episode_05,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.39999999999999986,0.39999999999999986,0.6239417990744813,1.4818617728018935,0.8579199737274122,0.0,0.0,0.0,1.0,0.3333333333333333,0.05000000000000001,0.05,0,0.0,3,1.5598544976862039,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
core_002,always_5pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,6,core_002__recovered_calibration__episode_06,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.3999999999999999,0.39999999999999986,0.6239417990744813,1.4818617728018935,0.8579199737274122,0.0,0.0,0.0,1.0,0.5,0.05,0.05,0,0.0,2,1.5598544976862039,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
core_002,always_5pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,7,core_002__recovered_calibration__episode_07,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.3999999999999999,0.39999999999999986,0.6239417990744813,1.4818617728018937,0.8579199737274122,0.0,0.0,0.0,1.0,0.3333333333333333,0.05000000000000001,0.05,0,0.0,3,1.5598544976862039,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
core_002,always_10pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,0,core_002__recovered_calibration__episode_00,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.3499999999999999,0.3499999999999999,0.5459490741901712,1.4038690479175835,0.8579199737274122,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0,0.0,1,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
core_002,always_10pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,1,core_002__recovered_calibration__episode_01,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.21256142450678628,0.2125614245067863,0.3315648940514971,1.2007682456809448,0.8579199737274122,0.011283377902035485,0.2256675580407097,0.1446721847296986,0.8553278152703014,0.0,0.10000000000000002,0.1,0,0.0,3,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
core_002,always_10pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,2,core_002__recovered_calibration__episode_02,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.24964445588879763,0.24964445588879766,0.38940902734056615,1.2555679509021682,0.8579199737274122,0.008238949834189744,0.16477899668379486,0.10563741485389715,0.8943625851461028,0.0,0.10000000000000002,0.1,0,0.0,3,1.5598544976862039,-0.0,5.551115123125783e-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0
core_002,always_10pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,3,core_002__recovered_calibration__episode_03,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.2866065794426564,0.2866065794426564,0.4470645620100859,1.3101889837469765,0.8579199737274122,0.005204448009478174,0.10408896018956348,0.06672991637615105,0.933270083623849,0.0,0.10000000000000002,0.1,0,0.0,3,1.5598544976862039,-0.0,1.1102230246251565e-16,0.0,0.0,0.0,1.0,0.0,0.0,0.0
core_002,always_10pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,4,core_002__recovered_calibration__episode_04,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.3231352132697628,0.32313521326976274,0.5040439157796301,1.3641694241602287,0.8579199737274122,0.0022055346531863725,0.044110693063727446,0.028278722873933848,0.9717212771260662,0.3333333333333333,0.10000000000000002,0.1,0,0.0,3,1.5598544976862039,-0.0,5.551115123125783e-17,0.0,0.0,0.0,1.0,0.0,0.0,0.0
core_002,always_10pct,fixed_or_rule_policy,recovered_calibration,recovered_calibration,False,False,5,core_002__recovered_calibration__episode_05,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,0.35000000000000003,0.35,0.5459490741901714,1.4038690479175835,0.8579199737274122,0.0,0.0,0.0,1.0,0.3333333333333333,0.10000000000000002,0.1,0,0.0,3,1.5598544976862039,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
