state_id,store_id,product_id,observed_revenue_maximizing_markdown,recovered_revenue_maximizing_markdown,preferred_action_changed,observed_best_illustrative_revenue,recovered_best_illustrative_revenue
0,493,37,0.1,0.0,True,1.7593072660933238,1.9849700465152265
1,117,316,0.05,0.0,True,1.213932709192456,1.4852228433037764
2,513,467,0.1,0.0,True,3.343034127069858,3.3839365884468853
3,325,758,0.1,0.0,True,0.93080518444407,1.3927668146607277
4,417,756,0.2,0.2,False,6.533466133288859,7.585223370005657
5,498,547,0.4,0.4,False,0.38897102860092014,0.587329133559049
6,212,608,0.4,0.4,False,0.5369065404685365,0.5353282465618486
7,802,591,0.4,0.4,False,0.49854266115676504,0.6327457439801243
8,507,715,0.4,0.4,False,0.4764271078823372,0.6150809090607834
9,115,779,0.05,0.4,True,0.36443523898070723,0.415562459846581
10,17,381,0.1,0.05,True,1.0714171938501247,1.1584198634601426
11,507,715,0.05,0.0,True,0.5343796798458326,0.8335568745703816
12,291,426,0.4,0.0,True,0.6808553747259981,0.8751206928480293
13,714,793,0.05,0.0,True,0.5640981186907187,0.8196602428489572
14,714,793,0.05,0.0,True,0.5689426844391794,0.85816189086598
15,554,765,0.4,0.4,False,0.49999532669027047,0.6170167386215845
16,230,4,0.1,0.1,False,1.7279626347658223,2.1553920064131433
17,230,4,0.1,0.0,True,1.4839514204138855,2.0154610918009688
18,658,19,0.1,0.1,False,1.3533663596228331,1.1768192360659286
19,488,740,0.05,0.0,True,0.8430636118116104,1.1635540345417392
20,754,92,0.05,0.4,True,0.04267647299651702,0.08010940484625258
21,658,19,0.1,0.1,False,0.9740847421523141,1.007266872640086
22,754,92,0.4,0.4,False,0.5924393596472354,0.7022090013146909
23,237,596,0.4,0.4,False,1.0706368073734298,0.9282604916005721
24,370,127,0.0,0.05,True,1.1530237696065444,1.1723869281514807
25,3,351,0.05,0.0,True,0.6089095796999989,0.8559237275892801
26,843,6,0.1,0.0,True,2.068935412999474,2.7738923514754594
27,368,540,0.2,0.2,False,8.711728462388109,8.916484234243597
28,284,190,0.4,0.05,True,1.0708502322044833,1.0659705169246143
29,666,729,0.05,0.0,True,0.7897586194874671,1.0782914717490315
30,563,295,0.4,0.0,True,0.9875474732727181,1.3336144921279938
31,49,11,0.05,0.05,False,0.6412412965773633,0.9344204997080319
32,865,4,0.4,0.4,False,0.6996185005992203,0.8219402552078271
33,155,300,0.0,0.2,True,5.918374673802656,6.210997802960853
34,481,296,0.0,0.0,False,1.3481258769789561,1.6809747697434805
35,668,631,0.4,0.4,False,0.8769402829600492,0.9125402331133406
36,97,102,0.0,0.0,False,1.9892518284883338,2.315690671322445
37,370,127,0.0,0.0,False,0.779724071857701,0.7891346947246527
38,57,11,0.05,0.05,False,0.6910606466393259,0.968060768940911
39,153,834,0.0,0.0,False,2.5802016888166994,3.6659216864091926
40,501,6,0.05,0.0,True,1.2497549148781222,1.6485311451489761
41,265,481,0.05,0.0,True,1.0010080733132956,1.2313335314570306
42,881,496,0.4,0.4,False,0.6238762191006976,0.6183682492439184
43,358,768,0.05,0.4,True,0.044607305565310854,0.05066155725689479
44,229,109,0.4,0.4,False,0.3833858890850042,0.32030171470176155
45,666,729,0.05,0.05,False,0.30494246966184624,0.3435144127289018
46,188,719,0.4,0.4,False,0.5684435736726647,0.542496661738599
47,78,217,0.4,0.4,False,0.48332209924461766,0.6401393887687229
48,409,749,0.05,0.05,False,1.0215378349871442,0.997776983624113
49,34,345,0.4,0.4,False,0.6386278835648437,0.560157226118467
50,188,259,0.05,0.05,False,0.6879200049223667,0.7089735826991947
51,877,54,0.4,0.4,False,0.5896883208437597,0.5797605612512354
52,256,108,0.05,0.05,False,0.3353948805091926,0.3743116939210377
53,188,719,0.4,0.4,False,0.509897888947519,0.6030175604219197
54,860,250,0.4,0.4,False,0.555948042611021,0.5120852393940502
55,722,473,0.4,0.4,False,0.5400984866340667,0.6301765359559585
56,4,295,0.05,0.0,True,0.8051444005447026,1.0202391500220926
57,876,548,0.4,0.0,True,0.5788012173585204,0.7991960977902433
58,370,223,0.05,0.05,False,0.8291831581299561,0.8355645751330443
59,370,223,0.4,0.0,True,0.5017950364452937,0.6924415574286837
60,378,18,0.4,0.4,False,0.574494546306657,0.5934985196310905
61,49,11,0.4,0.0,True,0.5190668414926678,0.7703191839050438
62,613,768,0.4,0.0,True,0.7281754763752144,0.8969727691599045
63,57,11,0.05,0.0,True,0.6486077288262574,0.986771100749934
64,542,489,0.4,0.0,True,0.5333158608325932,0.7032546668811093
65,160,677,0.4,0.4,False,0.8857310774596586,0.6241721002149931
66,565,772,0.05,0.0,True,0.7565276018631475,1.0433087022738867
67,510,793,0.05,0.0,True,0.5112275467883002,0.7711383552354312
68,268,596,0.05,0.05,False,0.8162601669430306,0.8386815080902844
69,18,88,0.05,0.0,True,0.4822692404863272,0.6825071050738789
70,358,11,0.05,0.05,False,0.8332672854824862,0.848254670651598
71,161,631,0.05,0.4,True,0.5557768208142547,0.5374450996570147
72,282,108,0.4,0.4,False,0.4951234423535123,0.6389129069586091
73,876,548,0.4,0.0,True,0.6070326572215367,0.8368262298762623
74,418,634,0.05,0.0,True,0.7986630991487969,1.0321136213675866
75,233,41,0.1,0.0,True,1.4499159795325267,1.691608205400601
76,386,76,0.4,0.0,True,1.5098639625547052,1.8909614547050397
77,780,783,0.4,0.0,True,1.3236302218728238,1.7055421322978734
78,233,41,0.4,0.0,True,1.3076087184421377,1.5261528810386906
79,72,146,0.4,0.05,True,0.4528453463918621,0.5968997677847999
