shelf_life_class,inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,policy,mean_profit,mean_waste_rate,mean_sell_through,scenarios
long_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,always_10pct,2.1457947039952803,0.13126521375039327,0.8687347862496068,1
long_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,always_20pct,1.2209236021583791,0.12431776391367226,0.8756822360863278,1
long_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,always_40pct,-0.6988329166395507,0.11449421321129766,0.8855057867887024,1
long_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,expiry_threshold_rule,2.6173489013676288,0.13355942484504327,0.8664405751549568,1
long_shelf_life,lean_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,inventory_coverage_rule,3.0644945135360007,0.1373754418479835,0.8626245581520164,1
medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,always_0pct,1.537704252577318,0.3066875035166519,0.693312496483348,1
medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,always_10pct,0.1781618356143988,0.29731834113161676,0.7026816588683832,1
medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,always_20pct,-1.3161219730138385,0.2937713166914486,0.7062286833085514,1
medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,always_40pct,-4.1339402351481365,0.2711716217549264,0.7288283782450736,1
medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,expiry_threshold_rule,0.862053483617646,0.29825269284409484,0.7017473071559053,1
medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,inventory_coverage_rule,0.5387459271361625,0.2983550373440257,0.7016449626559743,1
medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,always_0pct,1.616758562298923,0.3092215257848697,0.6907784742151303,1
medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,always_10pct,0.129007087542917,0.30515127863487806,0.6948487213651219,1
medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,always_20pct,-1.3604545322597745,0.3002217248025297,0.6997782751974704,1
medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,always_40pct,-4.283600815426996,0.2816154813094231,0.718384518690577,1
medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,expiry_threshold_rule,0.8589881003966537,0.30454132176632864,0.6954586782336714,1
medium_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,recovered_demand,recovered_target_response,inventory_coverage_rule,0.426002889246239,0.30561203776665746,0.6943879622333425,1
medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,always_0pct,-2.5313092783505193,0.4003392608969538,0.5996607391030462,1
medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,always_10pct,-3.1892132489110008,0.3668117292125295,0.6331882707874704,1
medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,always_20pct,-5.377939384028152,0.3579333948968875,0.6420666051031124,1
medium_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,always_40pct,-9.78529211343402,0.32629210213028176,0.6737078978697183,1
