state_id,scenario_id,calibration_mode,source_policy,episode_index,day,prefix_actions,inventory_coverage_state,fraction_expiring_today,fraction_expiring_within_two_days,predicted_baseline_demand,episode_day,episode_period,remaining_inventory_life,shelf_life_class,scenario_inventory_coverage,age_profile,margin_scenario,disposal_scenario,demand_target,response_model,ppo_policy_id,ppo_training_calibration_mode,ppo_action,ppo_markdown,oracle_action,oracle_markdown,action_agrees_with_oracle,missed_positive_markdown_opportunity,unnecessary_markdown_action,normalized_profit_regret_vs_oracle
state_0008,core_002,observed_calibration,always_40pct,1,1,5,0.3266977369785309,0.0,1.0,0.4882565140724182,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,0,0.0,False,False,True,0.006555684407585319
state_0009,core_002,observed_calibration,expiry_threshold_rule,1,0,,3.0921051502227783,0.3333333432674408,0.6666666865348816,0.46009570360183716,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,0,0.0,False,False,True,0.09999999999999998
state_0009,core_002,observed_calibration,expiry_threshold_rule,1,0,,3.0921051502227783,0.3333333432674408,0.6666666865348816,0.46009570360183716,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,0,0.0,False,False,True,0.050000000000000044
state_0010,core_002,recovered_calibration,always_0pct,0,0,,1.220010757446289,0.3333333432674408,0.6666666865348816,1.6501003503799438,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,0,0.0,False,False,True,0.10000000000000003
state_0010,core_002,recovered_calibration,always_0pct,0,0,,1.220010757446289,0.3333333432674408,0.6666666865348816,1.6501003503799438,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,0,0.0,False,False,True,0.050000000000000044
state_0011,core_002,recovered_calibration,always_0pct,1,0,,3.8996362686157227,0.3333333432674408,0.6666666865348816,0.43535053730010986,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,4,0.3,False,False,False,0.11815693676953223
state_0011,core_002,recovered_calibration,always_0pct,1,0,,3.8996362686157227,0.3333333432674408,0.6666666865348816,0.43535053730010986,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,4,0.3,False,False,False,0.0502126543447014
state_0012,core_002,recovered_calibration,always_0pct,1,1,0,2.5673441886901855,0.5,1.0,0.44221848249435425,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,3,0.2,0,0.0,False,False,True,0.0441689802893821
state_0012,core_002,recovered_calibration,always_0pct,1,1,0,2.5673441886901855,0.5,1.0,0.44221848249435425,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,2,0.1,0,0.0,False,False,True,0.049759487495476984
state_0013,core_002,recovered_calibration,always_0pct,1,2,0|0,1.264838695526123,1.0,1.0,0.43991056084632874,2,late,1,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,3,0.2,0,0.0,False,False,True,0.01969913026544967
state_0013,core_002,recovered_calibration,always_0pct,1,2,0|0,1.264838695526123,1.0,1.0,0.43991056084632874,2,late,1,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,4,0.3,0,0.0,False,False,True,0.04612126057512875
state_0014,core_002,recovered_calibration,always_0pct,2,0,,3.639660596847534,0.3333333432674408,0.6666666865348816,0.4633173644542694,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,1,0.05,False,False,False,0.07565818812633615
state_0014,core_002,recovered_calibration,always_0pct,2,0,,3.639660596847534,0.3333333432674408,0.6666666865348816,0.4633173644542694,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,1,0.05,True,False,False,0.0
state_0015,core_002,recovered_calibration,always_20pct,1,0,,3.8996362686157227,0.3333333432674408,0.6666666865348816,0.43535053730010986,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,4,0.3,False,False,False,0.11815693676953223
state_0015,core_002,recovered_calibration,always_20pct,1,0,,3.8996362686157227,0.3333333432674408,0.6666666865348816,0.43535053730010986,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,4,0.3,False,False,False,0.0502126543447014
state_0016,core_002,recovered_calibration,always_40pct,1,0,,3.8996362686157227,0.3333333432674408,0.6666666865348816,0.43535053730010986,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,4,0.3,False,False,False,0.11815693676953223
state_0016,core_002,recovered_calibration,always_40pct,1,0,,3.8996362686157227,0.3333333432674408,0.6666666865348816,0.43535053730010986,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,4,0.3,False,False,False,0.0502126543447014
state_0017,core_002,recovered_calibration,always_40pct,1,1,5,1.542265772819519,0.27272701263427734,1.0,0.47203096747398376,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,3,0.2,0,0.0,False,False,True,0.09166663370555225
state_0017,core_002,recovered_calibration,always_40pct,1,1,5,1.542265772819519,0.27272701263427734,1.0,0.47203096747398376,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,2,0.1,0,0.0,False,False,True,0.04583331685277614
state_0018,core_002,recovered_calibration,always_40pct,3,1,5,1.3835999965667725,0.27636829018592834,1.0,0.4607735574245453,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,3,0.2,0,0.0,False,False,True,0.09212789700425145
state_0018,core_002,recovered_calibration,always_40pct,3,1,5,1.3835999965667725,0.27636829018592834,1.0,0.4607735574245453,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,2,0.1,0,0.0,False,False,True,0.04606394850212575
state_0019,core_002,recovered_calibration,expiry_threshold_rule,1,0,,3.8996362686157227,0.3333333432674408,0.6666666865348816,0.43535053730010986,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,4,0.3,False,False,False,0.11815693676953223
state_0019,core_002,recovered_calibration,expiry_threshold_rule,1,0,,3.8996362686157227,0.3333333432674408,0.6666666865348816,0.43535053730010986,0,early,3,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,4,0.3,False,False,False,0.0502126543447014
state_0020,core_002,recovered_calibration,inventory_coverage_rule,2,2,4|4,0.45768457651138306,1.0,1.0,0.5674527883529663,2,late,1,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,3,0.2,0,0.0,False,False,True,0.029585521169223028
state_0020,core_002,recovered_calibration,inventory_coverage_rule,2,2,4|4,0.45768457651138306,1.0,1.0,0.5674527883529663,2,late,1,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,4,0.3,0,0.0,False,False,True,0.04437828175383457
state_0021,core_002,recovered_calibration,inventory_coverage_rule,3,1,4,1.817722201347351,0.42066940665245056,1.0,0.4505721628665924,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,3,0.2,0,0.0,False,False,True,0.11507534161132263
state_0021,core_002,recovered_calibration,inventory_coverage_rule,3,1,4,1.817722201347351,0.42066940665245056,1.0,0.4505721628665924,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,4,0.3,0,0.0,False,False,True,0.17261301241698399
state_0022,core_002,recovered_calibration,inventory_coverage_rule,6,1,4,1.2720931768417358,0.3028123080730438,1.0,0.7531664371490479,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,3,0.2,0,0.0,False,False,True,0.09562226564919268
state_0022,core_002,recovered_calibration,inventory_coverage_rule,6,1,4,1.2720931768417358,0.3028123080730438,1.0,0.7531664371490479,1,early,2,short_shelf_life,balanced_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,2,0.1,0,0.0,False,False,True,0.04781113282459637
state_0023,core_003,observed_calibration,always_0pct,0,0,,2.21427583694458,0.3333333432674408,0.6666666865348816,1.514770746231079,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,0,0.0,False,False,True,0.09999999999999992
state_0023,core_003,observed_calibration,always_0pct,0,0,,2.21427583694458,0.3333333432674408,0.6666666865348816,1.514770746231079,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,0,0.0,False,False,True,0.050000000000000044
state_0024,core_003,observed_calibration,always_0pct,0,1,0,0.81682288646698,0.14010867476463318,1.0,1.1891764402389526,1,early,2,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,0,0.0,False,False,True,0.03876458873270977
state_0024,core_003,observed_calibration,always_0pct,0,1,0,0.81682288646698,0.14010867476463318,1.0,1.1891764402389526,1,early,2,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,0,0.0,False,False,True,0.019382294366354913
state_0025,core_003,observed_calibration,always_0pct,1,0,,6.184210300445557,0.3333333432674408,0.6666666865348816,0.4501940608024597,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,5,0.4,False,False,False,0.2132210369758013
state_0025,core_003,observed_calibration,always_0pct,1,0,,6.184210300445557,0.3333333432674408,0.6666666865348816,0.4501940608024597,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,5,0.4,False,False,False,0.18428516393204109
state_0026,core_003,observed_calibration,always_0pct,1,2,0|0,1.969266653060913,1.0,1.0,0.47620972990989685,2,late,1,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,3,0.2,5,0.4,False,False,False,0.0421808734670876
state_0026,core_003,observed_calibration,always_0pct,1,2,0|0,1.969266653060913,1.0,1.0,0.47620972990989685,2,late,1,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,4,0.3,5,0.4,False,False,False,0.007326543965817501
state_0027,core_003,observed_calibration,always_0pct,2,0,,5.771929740905762,0.3333333432674408,0.6666666865348816,0.486522376537323,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,5,0.4,False,False,False,0.18817454845932613
state_0027,core_003,observed_calibration,always_0pct,2,0,,5.771929740905762,0.3333333432674408,0.6666666865348816,0.486522376537323,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,5,0.4,False,False,False,0.15812468779417746
state_0028,core_003,observed_calibration,always_0pct,3,0,,5.970962047576904,0.3333333432674408,0.6666666865348816,0.47317707538604736,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_observed_financial_ppo,observed_calibration,2,0.1,5,0.4,False,False,False,0.1763825775621653
state_0028,core_003,observed_calibration,always_0pct,3,0,,5.970962047576904,0.3333333432674408,0.6666666865348816,0.47317707538604736,0,early,3,short_shelf_life,high_inventory,uniform,medium_margin,moderate_disposal_cost,observed_sales_demand,observed_target_response,selected_recovered_financial_ppo,recovered_calibration,1,0.05,5,0.4,False,False,False,0.14644129622381416
