state_id,scenario_id,calibration_mode,episode_index,start_day,prefix_actions,reset_seed,deterministic_demand,same_store_product_episode_proxy,same_start_date_proxy,same_scenario,same_calibration_mode,same_initial_inventory_proxy,same_age_profile,same_horizon,same_demand_noise_seed,same_discount_response_model,same_accounting_normalization,action_value_metadata_match,action_values_available_for_all_actions,pairing_status
state_0031,core_003,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0032,core_003,observed_calibration,4,1,5,20004,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0033,core_003,observed_calibration,5,2,5|5,20005,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0034,core_003,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0035,core_003,recovered_calibration,0,0,,20000,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0036,core_003,recovered_calibration,0,1,0,20000,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0037,core_003,recovered_calibration,0,2,0|0,20000,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0038,core_003,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0039,core_003,recovered_calibration,1,1,0,20001,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0040,core_003,recovered_calibration,2,0,,20002,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0041,core_003,recovered_calibration,3,0,,20003,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0042,core_003,recovered_calibration,6,1,0,20006,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0043,core_003,recovered_calibration,7,0,,20007,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0044,core_003,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0045,core_003,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0046,core_003,recovered_calibration,5,2,5|5,20005,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0047,core_003,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,True,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0048,core_005,observed_calibration,0,0,,20000,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0049,core_005,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0050,core_005,observed_calibration,1,1,0,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0051,core_005,observed_calibration,1,2,0|0,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0052,core_005,observed_calibration,3,0,,20003,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0053,core_005,observed_calibration,5,1,0,20005,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0054,core_005,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0055,core_005,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0056,core_005,observed_calibration,1,1,5,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0057,core_005,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0058,core_005,recovered_calibration,0,0,,20000,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0059,core_005,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0060,core_005,recovered_calibration,1,1,0,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0061,core_005,recovered_calibration,1,2,0|0,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0062,core_005,recovered_calibration,2,0,,20002,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0063,core_005,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0064,core_005,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0065,core_005,recovered_calibration,1,1,5,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0066,core_005,recovered_calibration,3,1,5,20003,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0067,core_005,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0068,core_005,recovered_calibration,2,2,4|4,20002,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0069,core_005,recovered_calibration,3,1,4,20003,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0070,core_005,recovered_calibration,6,1,4,20006,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0071,core_006,observed_calibration,0,0,,20000,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0072,core_006,observed_calibration,0,1,0,20000,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0073,core_006,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0074,core_006,observed_calibration,1,2,0|0,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0075,core_006,observed_calibration,2,0,,20002,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0076,core_006,observed_calibration,3,0,,20003,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0077,core_006,observed_calibration,7,0,,20007,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0078,core_006,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0079,core_006,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0080,core_006,observed_calibration,4,1,5,20004,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0081,core_006,observed_calibration,5,2,5|5,20005,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0082,core_006,observed_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0083,core_006,recovered_calibration,0,0,,20000,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0084,core_006,recovered_calibration,0,1,0,20000,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0085,core_006,recovered_calibration,0,2,0|0,20000,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0086,core_006,recovered_calibration,1,0,,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0087,core_006,recovered_calibration,1,1,0,20001,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0088,core_006,recovered_calibration,2,0,,20002,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
state_0089,core_006,recovered_calibration,3,0,,20003,True,True,True,True,True,True,True,True,True,True,True,False,False,COMPARABLE_RECONSTRUCTED_STATE_WITH_NO_ACTION_VALUE_ROWS
