policy_id,feature,markdown_correlation,mean_markdown_low_feature,mean_markdown_high_feature
recovered_financial__checkpoint_17288,episode_day,-0.5751624157153443,0.01875,0.0038461538461538464
recovered_financial__checkpoint_22288,fraction_expiring_today,0.0,0.010185185185185186,0.0
recovered_financial__checkpoint_22288,fraction_expiring_within_two_days,0.5642414041383458,0.0014705882352941176,0.025
recovered_financial__checkpoint_22288,inventory_coverage,0.48538095890661176,0.0,0.020370370370370372
recovered_financial__checkpoint_22288,predicted_demand,-0.475060596976959,0.018518518518518517,0.001851851851851852
recovered_financial__checkpoint_22288,episode_day,-0.5137023101222601,0.013750000000000002,0.0
recovered_financial__checkpoint_27288,fraction_expiring_today,0.0,0.0,0.0
recovered_financial__checkpoint_27288,fraction_expiring_within_two_days,0.0,0.0,0.0
recovered_financial__checkpoint_27288,inventory_coverage,0.0,0.0,0.0
recovered_financial__checkpoint_27288,predicted_demand,0.0,0.0,0.0
recovered_financial__checkpoint_27288,episode_day,0.0,0.0,0.0
recovered_financial__checkpoint_32288,fraction_expiring_today,0.0,0.0,0.0
recovered_financial__checkpoint_32288,fraction_expiring_within_two_days,0.0,0.0,0.0
recovered_financial__checkpoint_32288,inventory_coverage,0.0,0.0,0.0
recovered_financial__checkpoint_32288,predicted_demand,0.0,0.0,0.0
recovered_financial__checkpoint_32288,episode_day,0.0,0.0,0.0
recovered_financial__final_model,fraction_expiring_today,0.0,0.0,0.0
recovered_financial__final_model,fraction_expiring_within_two_days,0.0,0.0,0.0
recovered_financial__final_model,inventory_coverage,0.0,0.0,0.0
recovered_financial__final_model,predicted_demand,0.0,0.0,0.0
recovered_financial__final_model,episode_day,0.0,0.0,0.0
