seed,selected_checkpoint,selected_policy_id,mean_gain,median_gain,win_rate,waste_difference,worst_decile_gain,action_entropy,state_dependence,collapse_flag,accounting_valid,planning_gain_capture_ratio,positive_gain_seed_count,positive_gain_seed_share,direction_consistency,across_seed_mean_gain,across_seed_std_gain,pooled_mean_gain,pooled_win_share
42,20000,STANDARD_DQN__seed_42__20000,0.00765213846284877,0.0003784365151975333,0.5454545454545454,-0.14360031486496652,-0.07247904722544651,1.2668185288586566,STATE_DEPENDENT,False,True,0.7090565662387667,3,1.0,PASS,0.011421570610163884,0.0036592280858809573,0.011421570610163882,0.5757575757575758
123,15000,STANDARD_DQN__seed_123__15000,0.011652960899352282,0.0017371158058100966,0.5454545454545454,-0.11847956240196958,-0.0539696616298632,1.2276342489482397,STATE_DEPENDENT,False,True,1.0797776963817904,3,1.0,PASS,0.011421570610163884,0.0036592280858809573,0.011421570610163882,0.5757575757575758
456,25000,STANDARD_DQN__seed_456__25000,0.014959612468290594,0.0036454153652369925,0.6363636363636364,-0.12553526833195736,-0.036835954485670695,1.2378997938150436,STATE_DEPENDENT,False,True,1.386176099730411,3,1.0,PASS,0.011421570610163884,0.0036592280858809573,0.011421570610163882,0.5757575757575758
