policy_id,mean_normalized_profit,waste_rate,sell_through,profit_waste_pareto_frontier
always_0pct,0.4479993306199982,0.0019053994095255544,0.9980946005904745,True
always_5pct,0.3985579803893202,0.001442019610679629,0.9985579803893203,True
always_10pct,0.34873225388445933,0.0013344695953060553,0.9986655304046939,True
always_20pct,0.25,0.0,1.0,True
always_30pct,0.14999999999999994,0.0,1.0,False
always_40pct,0.04999999999999993,0.0,1.0,False
random_uniform,0.2403221037999465,0.0006096504579754321,0.9993903495420245,False
expiry_rule_10pct,0.34873225388445933,0.0013344695953060553,0.9986655304046939,True
inventory_coverage_rule_10pct,0.39262048044333986,0.0014889098673783634,0.9985110901326216,False
original_observed_ppo,0.30787219328701776,0.00040508929911311603,0.9995949107008869,True
original_recovered_ppo,0.3108558546753095,0.00040526711437999333,0.9995947328856201,True
balanced_recovered_ppo,0.4359085234475656,0.0016430455262707911,0.9983569544737293,True
locked_dqn_ensemble,0.42572130058655044,0.0017010160659301158,0.9982989839340699,False

